,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,0740-25-4121,https://shiga.corolla-dealer.jp/,,,,,,,,高島サービスステーション,高島市　新旭町　新庄１４３１－２,0740-25-4121,●,●,●,●,,
1,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,077-571-2111,https://shiga.corolla-dealer.jp/,,,,,,,,堅田店,大津市衣川１丁目４０－１,077-571-2111,●,●,●,●,,
2,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,077-525-4111,https://shiga.corolla-dealer.jp/,,,,,,,,西大津店,大津市　際川　３丁目－３２－３４,077-525-4111,●,●,●,●,,
3,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,077-534-4111,https://shiga.corolla-dealer.jp/,,,,,,,,大津店,大津市　富士見台３－８,077-534-4111,●,●,●,●,,
4,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,077-565-0222,https://shiga.corolla-dealer.jp/,,,,,,,,イオンモール草津店,滋賀県草津市新浜町３００,077-565-0222,●,,●,●,,
5,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,077-563-4115,https://shiga.corolla-dealer.jp/,,,,,,,,草津店,草津市　東草津　２丁目３番５４号,077-563-4115,●,●,●,●,●,●
6,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,077-551-3111,https://shiga.corolla-dealer.jp/,,,,,,,,栗東店,滋賀県栗東市大橋四丁目２番４号,077-551-3111,●,●,●,●,,
7,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,077-583-3111,https://shiga.corolla-dealer.jp/,,,,,,,,守山店,守山市　下之郷三丁目　６番６号,077-583-3111,●,●,●,●,,
8,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,0748-62-3090,https://shiga.corolla-dealer.jp/,,,,,,,,甲賀店,甲賀市水口町本綾野５番１８号,0748-62-3090,●,,●,●,,
9,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,0748-72-8111,https://shiga.corolla-dealer.jp/,,,,,,,,湖南店,湖南市三雲２６２－１,0748-72-8111,●,●,●,●,,
10,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,0748-22-4600,https://shiga.corolla-dealer.jp/,,,,,,,,八日市店,東近江市八日市緑町２７－１５,0748-22-4600,●,●,●,●,,
11,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,0748-53-3111,https://shiga.corolla-dealer.jp/,,,,,,,,日野店,蒲生郡　日野町　松尾１丁目７６番地,0748-53-3111,●,●,●,●,,
12,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,0748-33-1231,https://shiga.corolla-dealer.jp/,,,,,,,,近江八幡店,近江八幡市鷹飼町北３丁目１５番７,0748-33-1231,●,●,●,●,,
13,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,0749-42-8111,https://shiga.corolla-dealer.jp/,,,,,,,,愛知川店,愛知郡　愛荘町　長野　３０３,0749-42-8111,●,●,●,●,,
14,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,0749-23-4111,https://shiga.corolla-dealer.jp/,,,,,,,,彦根店,彦根市芹川町３６４－２,0749-23-4111,●,●,●,●,,
15,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,0749-72-4111,https://shiga.corolla-dealer.jp/,,,,,,,,長浜店,長浜市曽根町１１９４－１,0749-72-4111,●,●,●,●,,
16,トヨタカローラ滋賀株式会社,草津市東草津２－３－５４,0749-52-4111,https://shiga.corolla-dealer.jp/,,,,,,,,米原店,米原市高溝　２５８－１,0749-52-4111,●,●,●,●,,
