,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-351-8131,http://kyoto-toyopet.jp,,,,,,,,七条本店,京都市下京区朱雀正会町１番地２,075-351-8131,●,,●,●,●,●
1,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-431-2141,http://kyoto-toyopet.jp,,,,,,,,北店,京都市北区小山下総町４０－３,075-431-2141,●,,●,●,,
2,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-761-6301,http://kyoto-toyopet.jp,,,,,,,,岡崎店,京都市左京区岡崎東天王町４０,075-761-6301,●,,●,●,,
3,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-592-0612,http://kyoto-toyopet.jp,,,,,,,,山科店,京都市山科区音羽役出町１－１６,075-592-0612,●,,●,●,,
4,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-321-3001,http://kyoto-toyopet.jp,,,,,,,,カドノ店,京都市右京区西院月双町７２,075-321-3001,●,,●,●,,
5,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-391-2251,http://kyoto-toyopet.jp,,,,,,,,桂店,京都市西京区山田中吉見町１５－７,075-391-2251,●,,●,●,,
6,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,0771-23-4681,http://kyoto-toyopet.jp,,,,,,,,亀岡店,亀岡市大井町並河３丁目３１３,0771-23-4681,●,,●,●,,
7,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-933-4131,http://kyoto-toyopet.jp,,,,,,,,乙訓店,向日市上植野町桑原７－３,075-933-4131,●,,●,●,,
8,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-641-8296,http://kyoto-toyopet.jp,,,,,,,,伏見店,京都市伏見区深草泓ノ壺町１１,075-641-8296,●,,●,●,,
9,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-611-9111,http://kyoto-toyopet.jp,,,,,,,,桃山店,京都市伏見区桃山町和泉１１－１,075-611-9111,●,,●,●,,
10,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-633-6100,http://kyoto-toyopet.jp,,,,,,,,久御山店,久世郡久御山町森川端１０３－３,075-633-6100,●,,●,●,,
11,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,0774-52-4181,http://kyoto-toyopet.jp,,,,,,,,城陽店,城陽市富野南清水７３,0774-52-4181,●,,●,●,,
12,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,0774-71-8211,http://kyoto-toyopet.jp,,,,,,,,木津川台店,京都府木津川市木津川台５丁目１番７,0774-71-8211,●,,●,●,,
13,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,0773-75-4125,http://kyoto-toyopet.jp,,,,,,,,舞鶴店,舞鶴市字公文名小字馬場下１３,0773-75-4125,●,,●,●,,
14,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,0773-23-5571,http://kyoto-toyopet.jp,,,,,,,,福知山店,福知山市字堀小字三白２５１０－４,0773-23-5571,●,,●,●,,
15,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,0772-62-2440,http://kyoto-toyopet.jp,,,,,,,,峰山店,京都府京丹後市峰山町長岡５００－１,0772-62-2440,●,,●,●,,
16,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-691-8655,http://kyoto-toyopet.jp,,,,,,,,カスタムガレージ,京都市南区吉祥院池田町２５,075-691-8655,●,,●,●,,
17,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,075-691-8121,http://kyoto-toyopet.jp,,,,,,,,Ｕ－ｍｉｘ,京都市南区吉祥院池田町２５,075-691-8121,,●,●,●,,
18,京都トヨペット株式会社,京都市下京区七条通大宮西入ル　梅小路公園前,0772-62-1602,http://kyoto-toyopet.jp,,,,,,,,マイカーガーデン,京都府京丹後市峰山町長岡５００－１,0772-62-1602,,●,●,●,,
