,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,075-661-3271,https://www.corolla-kyoto.com/,,,,,,,,吉祥院店,京都市南区吉祥院石原上川原町２２,075-661-3271,●,●,●,●,●,●
1,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,075-491-2151,https://www.corolla-kyoto.com/,,,,,,,,上堀川店,京都市北区紫竹下本町５５－５,075-491-2151,●,●,●,●,,
2,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,075-461-6700,https://www.corolla-kyoto.com/,,,,,,,,円町店,京都市中京区西ノ京南大炊御門町１－１,075-461-6700,●,●,●,●,,
3,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,075-582-9671,https://www.corolla-kyoto.com/,,,,,,,,山科店,京都市山科区西野山階町３０－６,075-582-9671,●,●,●,●,,
4,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,0774-53-2691,https://www.corolla-kyoto.com/,,,,,,,,城陽店,城陽市寺田新池７３－１,0774-53-2691,●,●,●,●,,
5,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,0774-64-7808,https://www.corolla-kyoto.com/,,,,,,,,京田辺店,京田辺市草内大東３０－１４,0774-64-7808,●,●,●,●,,
6,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,0774-21-4161,https://www.corolla-kyoto.com/,,,,,,,,宇治店,宇治市槇島町本屋敷１４８－１,0774-21-4161,●,●,●,●,,
7,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,075-612-3110,https://www.corolla-kyoto.com/,,,,,,,,伏見店,京都市伏見区下鳥羽浄春ヶ前町１１７,075-612-3110,●,●,●,●,,
8,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,075-643-2141,https://www.corolla-kyoto.com/,,,,,,,,伏見マイカーセンター,京都市伏見区深草泓ノ壺町１－５,075-643-2141,,●,●,,,
9,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,075-982-5051,https://www.corolla-kyoto.com/,,,,,,,,八幡店,八幡市八幡南山３０,075-982-5051,●,●,●,●,,
10,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,075-982-4848,https://www.corolla-kyoto.com/,,,,,,,,八幡マイカーセンター,八幡市美濃山御幸１－１,075-982-4848,,●,●,,,
11,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,075-394-8822,https://www.corolla-kyoto.com/,,,,,,,,桂店,京都市西京区上桂森下町３５－１,075-394-8822,●,●,●,●,,
12,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,075-933-4871,https://www.corolla-kyoto.com/,,,,,,,,乙訓店,向日市上植野町落堀８－３,075-933-4871,●,●,●,●,,
13,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,0774-72-7888,https://www.corolla-kyoto.com/,,,,,,,,木津川台店,木津川市木津川台６丁目１－１,0774-72-7888,●,●,●,●,,
14,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,0773-23-0201,https://www.corolla-kyoto.com/,,,,,,,,福知山店,福知山市堀草木２３０９－１,0773-23-0201,●,●,●,●,,
15,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,0771-24-9898,https://www.corolla-kyoto.com/,,,,,,,,亀岡店,亀岡市大井町土田３丁目８－２７,0771-24-9898,●,●,●,●,,
16,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,0773-75-3224,https://www.corolla-kyoto.com/,,,,,,,,舞鶴店,京都府舞鶴市公文名大将軍２２２,0773-75-3224,●,●,●,●,,
17,トヨタカローラ京都株式会社,京都市中京区西ノ京南大炊御門町１－１,0772-68-3131,https://www.corolla-kyoto.com/,,,,,,,,京丹後店,京丹後市大宮町河辺３３４８,0772-68-3131,●,●,●,●,,
