,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6353-2361,http://www.osaka-toyopet.jp/,,,,,,,,北店,大阪市北区樋之口町３－２６,06-6353-2361,●,,●,●,,
1,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6327-1200,http://www.osaka-toyopet.jp/,,,,,,,,上新庄店,大阪市東淀川区上新庄２－１－３,06-6327-1200,●,,●,●,,
2,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6932-1121,http://www.osaka-toyopet.jp/,,,,,,,,都島店,大阪市城東区成育１－７－１６,06-6932-1121,●,,●,●,,
3,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6976-3281,http://www.osaka-toyopet.jp/,,,,,,,,東成店,大阪市東成区深江北１－１７－９,06-6976-3281,●,,●,●,,
4,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6772-7891,http://www.osaka-toyopet.jp/,,,,,,,,天王寺店,大阪市天王寺区下寺町２－２－３５,06-6772-7891,●,,●,●,,
5,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6757-4951,http://www.osaka-toyopet.jp/,,,,,,,,生野店,大阪市生野区巽東３－１２－９,06-6757-4951,●,,●,●,,
6,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6623-0051,http://www.osaka-toyopet.jp/,,,,,,,,阿倍野店,大阪市阿倍野区阪南町３－２８－３,06-6623-0051,●,,●,●,,
7,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6714-7811,http://www.osaka-toyopet.jp/,,,,,,,,東住吉くまた店,大阪市東住吉区杭全５－１２－１０,06-6714-7811,●,,●,●,,
8,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6791-4111,http://www.osaka-toyopet.jp/,,,,,,,,平野店,大阪市平野区平野元町５－２６,06-6791-4111,●,,●,●,,
9,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6543-5115,http://www.osaka-toyopet.jp/,,,,,,,,中央店,大阪市西区立売堀３－１－１,06-6543-5115,●,,●,●,,
10,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-4804-9100,http://www.osaka-toyopet.jp/,,,,,,,,福島店,大阪市福島区吉野５－５－２１,06-4804-9100,●,,●,●,,
11,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6472-1561,http://www.osaka-toyopet.jp/,,,,,,,,西淀川野里店,大阪市西淀川区野里３－１－１２,06-6472-1561,●,,●,●,,
12,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6568-1137,http://www.osaka-toyopet.jp/,,,,,,,,なんば店,大阪市浪速区桜川１－５－１３,06-6568-1137,●,,●,●,,
13,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6609-1211,http://www.osaka-toyopet.jp/,,,,,,,,住吉店,大阪市住吉区南住吉１－２５－２３,06-6609-1211,●,,●,●,,
14,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,06-6863-6661,http://www.osaka-toyopet.jp/,,,,,,,,豊中店,豊中市穂積１－６－２,06-6863-6661,●,,●,●,,
15,大阪トヨペット株式会社,大阪市西区立売堀３－１－１,072-786-2727,http://www.osaka-toyopet.jp/,,,,,,,,箕面かやの店,箕面市萱野４－２－２０,072-786-2727,●,,●,●,,
