,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-640-6177,https://toyota-mobi-shinosaka.jp/,,,,,,,,アウトレット１７１茨木店,大阪府茨木市清水１丁目５番１号,072-640-6177,,●,●,,,
1,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-683-4531,https://toyota-mobi-shinosaka.jp/,,,,,,,,高槻西店,高槻市川西町１丁目３番１号,072-683-4531,●,,●,●,,
2,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-828-0536,https://toyota-mobi-shinosaka.jp/,,,,,,,,アウトレット寝屋川店,寝屋川市池田北町８番１号,072-828-0536,,●,●,,,
3,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-828-0555,https://toyota-mobi-shinosaka.jp/,,,,,,,,寝屋川店,寝屋川市池田北町１５番２０号,072-828-0555,●,,●,●,,
4,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-847-6751,https://toyota-mobi-shinosaka.jp/,,,,,,,,枚方店,枚方市池之宮１丁目２４番１５号,072-847-6751,●,,●,●,,
5,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-841-2221,https://toyota-mobi-shinosaka.jp/,,,,,,,,枚方山之上店,枚方市田宮本町１４番３０号,072-841-2221,●,,●,●,,
6,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-841-2221,https://toyota-mobi-shinosaka.jp/,,,,,,,,ＵーCａｒ枚方山之上店,枚方市田宮本町１４番３０号,072-841-2221,,●,●,●,,
7,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-850-3731,https://toyota-mobi-shinosaka.jp/,,,,,,,,くずは牧野店,枚方市上島町８番１６号,072-850-3731,●,,●,●,,
8,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-866-7300,https://toyota-mobi-shinosaka.jp/,,,,,,,,くずは北山店,枚方市高野道２丁目３６番１号,072-866-7300,●,,●,●,,
9,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-866-7400,https://toyota-mobi-shinosaka.jp/,,,,,,,,ＵーＣａｒくずは北山店,枚方市高野道２丁目３６番１号,072-866-7400,,●,●,●,,
10,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-877-5901,https://toyota-mobi-shinosaka.jp/,,,,,,,,四條畷店,四條畷市西中野１丁目１番１２号,072-877-5901,●,,●,●,,
11,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-891-1321,https://toyota-mobi-shinosaka.jp/,,,,,,,,交野店,交野市星田北４丁目３６番６号,072-891-1321,●,,●,●,,
12,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-893-6061,https://toyota-mobi-shinosaka.jp/,,,,,,,,ＵーＣａｒ　交野店,交野市星田北４丁目３６番６号,072-893-6061,,●,●,●,,
13,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,075-961-6110,https://toyota-mobi-shinosaka.jp/,,,,,,,,みなせ店,三島郡島本町高浜３丁目２番１８号,075-961-6110,●,,●,●,,
14,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6877-0351,https://toyota-mobi-shinosaka.jp/,,,,,,,,千里店,吹田市五月が丘北１－７,06-6877-0351,●,,●,●,,
15,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-722-2581,https://toyota-mobi-shinosaka.jp/,,,,,,,,箕面店,箕面市牧落３－２０－２１,072-722-2581,●,,●,●,,
16,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6862-3211,https://toyota-mobi-shinosaka.jp/,,,,,,,,豊中店,豊中市曽根東町２－９－１６,06-6862-3211,●,,●,●,,
17,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6854-3212,https://toyota-mobi-shinosaka.jp/,,,,,,,,東豊中店,豊中市東豊中町６－４－５,06-6854-3212,●,●,●,●,,
18,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-752-4001,https://toyota-mobi-shinosaka.jp/,,,,,,,,池田店,池田市鉢塚１－７－３０,072-752-4001,●,,●,●,,
19,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-728-1991,https://toyota-mobi-shinosaka.jp/,,,,,,,,小野原店,箕面市粟生新家２－６－１２,072-728-1991,●,,●,●,,
20,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6846-5000,https://toyota-mobi-shinosaka.jp/,,,,,,,,緑丘店,豊中市向丘２丁目１０－１６,06-6846-5000,●,,●,●,,
21,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6350-6500,https://toyota-mobi-shinosaka.jp/,,,,,,,,新大阪本店,大阪市淀川区東三国３－１１－２,06-6350-6500,●,,●,●,●,●
22,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6394-0131,https://toyota-mobi-shinosaka.jp/,,,,,,,,十三店,大阪市淀川区新高４－１５－９１,06-6394-0131,●,,●,●,,
23,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6473-1475,https://toyota-mobi-shinosaka.jp/,,,,,,,,西淀店,大阪市西淀川区御幣島４－１４－１,06-6473-1475,●,,●,●,,
24,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6337-3773,https://toyota-mobi-shinosaka.jp/,,,,,,,,摂津千里丘店,摂津市千里丘５－６－１９,06-6337-3773,●,,●,●,,
25,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6329-4588,https://toyota-mobi-shinosaka.jp/,,,,,,,,上新庄店,大阪市東淀川区大隅１丁目２番２号,06-6329-4588,●,,●,●,,
26,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6384-3521,https://toyota-mobi-shinosaka.jp/,,,,,,,,吹田店,吹田市泉町３－１９－１５,06-6384-3521,●,,●,●,,
27,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6834-8415,https://toyota-mobi-shinosaka.jp/,,,,,,,,津雲台千里店,吹田市津雲台７－４－５,06-6834-8415,●,,●,●,,
28,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-634-1214,https://toyota-mobi-shinosaka.jp/,,,,,,,,茨木店,茨木市大池１－１－３２,072-634-1214,●,,●,●,,
29,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-671-2170,https://toyota-mobi-shinosaka.jp/,,,,,,,,高槻店,高槻市天王町４番１０号,072-671-2170,●,,●,●,,
30,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-624-7755,https://toyota-mobi-shinosaka.jp/,,,,,,,,名神茨木店,茨木市三咲町５－１７,072-624-7755,●,,●,●,,
31,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-677-4151,https://toyota-mobi-shinosaka.jp/,,,,,,,,摂津店,高槻市柱本南町３－１,072-677-4151,●,,●,●,,
32,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-635-6000,https://toyota-mobi-shinosaka.jp/,,,,,,,,富田店,茨木市鮎川２－３２－２１,072-635-6000,●,,●,●,,
33,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-694-4567,https://toyota-mobi-shinosaka.jp/,,,,,,,,南平台店,高槻市氷室町１－３０－１０,072-694-4567,●,,●,●,,
34,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-674-0122,https://toyota-mobi-shinosaka.jp/,,,,,,,,南高槻店,高槻市深沢町１－２６－２,072-674-0122,●,,●,●,,
35,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-632-7061,https://toyota-mobi-shinosaka.jp/,,,,,,,,中環茨木店,茨木市高浜町２－２２,072-632-7061,●,●,●,●,,
36,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-677-3223,https://toyota-mobi-shinosaka.jp/,,,,,,,,アウトレット摂津店,摂津市鳥飼上２－５－２０,072-677-3223,,●,●,,,
37,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6384-4831,https://toyota-mobi-shinosaka.jp/,,,,,,,,Ｕ－Ｃａｒ吹田店,吹田市穂波町５－２３,06-6384-4831,,●,●,,,
38,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-624-7733,https://toyota-mobi-shinosaka.jp/,,,,,,,,Ｕ－Ｃａｒ名神茨木店,茨木市三咲町５－１７,072-624-7733,,●,●,,,
39,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,06-6854-3217,https://toyota-mobi-shinosaka.jp/,,,,,,,,Ｕ－Ｃａｒ東豊中店,大阪府豊中市東豊中町６－４－５,06-6854-3217,,●,●,,,
40,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-672-0487,https://toyota-mobi-shinosaka.jp/,,,,,,,,Ｕ－Ｃａｒ南高槻店,高槻市深沢町１－１－１０,072-672-0487,,●,●,,,
41,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-671-2176,https://toyota-mobi-shinosaka.jp/,,,,,,,,Ｕ－Ｃａｒ高槻店,高槻市天王町４番１０号,072-671-2176,,●,●,,,
42,トヨタモビリティ新大阪,大阪市淀川区東三国３－１０－２１,072-728-7757,https://toyota-mobi-shinosaka.jp/,,,,,,,,Ｕ－Ｃａｒ箕面店,箕面市西宿２－３－３,072-728-7757,,●,●,●,,
