,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,06-6568-1000,http://www.netz-osaka.co.jp/,,,,,,,,本社営業店,大阪市浪速区浪速東１－１－７６,06-6568-1000,●,,●,●,,
1,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,06-6972-1000,http://www.netz-osaka.co.jp/,,,,,,,,今里店,大阪市東成区大今里西３－９－８,06-6972-1000,●,,●,●,,
2,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,06-6903-1000,http://www.netz-osaka.co.jp/,,,,,,,,守口店,守口市八雲中町３－１３－７５,06-6903-1000,●,,●,●,,
3,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,072-879-1000,http://www.netz-osaka.co.jp/,,,,,,,,四條畷店,四條畷市北出町２－１６,072-879-1000,●,,●,●,,
4,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,072-875-1000,http://www.netz-osaka.co.jp/,,,,,,,,大東店,大東市諸福８－２－１１,072-875-1000,●,,●,●,,
5,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,06-6788-1000,http://www.netz-osaka.co.jp/,,,,,,,,東大阪店,東大阪市荒本１－２－１,06-6788-1000,●,,●,●,,
6,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,072-867-1000,http://www.netz-osaka.co.jp/,,,,,,,,牧野店,枚方市三栗１－２８－１５,072-867-1000,●,,●,●,,
7,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,06-6932-1000,http://www.netz-osaka.co.jp/,,,,,,,,今福店,大阪市城東区今福東２－１３－２９,06-6932-1000,●,,●,●,,
8,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,06-6905-1000,http://www.netz-osaka.co.jp/,,,,,,,,門真店,門真市速見町１４－２５,06-6905-1000,●,,●,●,,
9,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,072-829-1000,http://www.netz-osaka.co.jp/,,,,,,,,寝屋川店,寝屋川市豊里町４３－３,072-829-1000,●,,●,●,,
10,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,072-847-1000,http://www.netz-osaka.co.jp/,,,,,,,,枚方店,枚方市出屋敷西町１－７－１,072-847-1000,●,●,●,●,,
11,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,072-872-1000,http://www.netz-osaka.co.jp/,,,,,,,,外環阪奈店,大東市中垣内６－１－１,072-872-1000,●,,●,●,,
12,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,072-984-1000,http://www.netz-osaka.co.jp/,,,,,,,,六万寺店,東大阪市下六万寺町３－６－３３,072-984-1000,●,,●,●,,
13,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,06-6661-1000,http://www.netz-osaka.co.jp/,,,,,,,,玉出店,大阪市西成区南津守７－４－２１,06-6661-1000,●,,●,●,,
14,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,06-6609-1000,http://www.netz-osaka.co.jp/,,,,,,,,西田辺店,大阪市阿倍野区西田辺町２－１１－２,06-6609-1000,●,,●,●,,
15,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,072-855-1000,http://www.netz-osaka.co.jp/,,,,,,,,くず葉店,枚方市南楠葉１－２５－１,072-855-1000,●,●,●,●,,
16,ネッツトヨタ大阪株式会社,大阪府大阪市浪速区浪速東１－１－７６,072-838-1000,http://www.netz-osaka.co.jp/,,,,,,,,仁和寺店,寝屋川市仁和寺町３２－２６,072-838-1000,●,,●,●,,
