,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,06-6693-4861,https://nankai.netz-toyota-dealer.jp,,,,,,,,住吉店,大阪府大阪市住吉区南住吉２―１８―２６,06-6693-4861,●,,●,●,,
1,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-334-0010,https://nankai.netz-toyota-dealer.jp,,,,,,,,松原天美店,大阪府松原市天美西５―２５７,072-334-0010,●,,●,●,,
2,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-335-4730,https://nankai.netz-toyota-dealer.jp,,,,,,,,松原店,大阪府松原市田井城２－１９１－１,072-335-4730,●,,●,●,,
3,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-975-5020,https://nankai.netz-toyota-dealer.jp,,,,,,,,羽曳野店,大阪府羽曳野市野２２－１,072-975-5020,●,,●,●,,
4,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-954-6010,https://nankai.netz-toyota-dealer.jp,,,,,,,,藤井寺店,藤井寺市西大井１－４２１,072-954-6010,●,,●,●,,
5,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-366-5486,https://nankai.netz-toyota-dealer.jp,,,,,,,,狭山店,大阪府大阪狭山市茱萸木５―６１４―１,072-366-5486,●,,●,●,,
6,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,0721-23-4378,https://nankai.netz-toyota-dealer.jp,,,,,,,,富田林店,大阪府富田林市宮甲田町１０－３５,0721-23-4378,●,,●,●,,
7,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,0721-53-1110,https://nankai.netz-toyota-dealer.jp,,,,,,,,外環河内長野,河内長野市野作町１０－１７,0721-53-1110,●,,●,●,,
8,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-227-1881,https://nankai.netz-toyota-dealer.jp,,,,,,,,堺北店,大阪府堺市堺区神南辺町２－９３,072-227-1881,●,,●,●,,
9,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-229-0606,https://nankai.netz-toyota-dealer.jp,,,,,,,,堺中央店,大阪府堺市堺区北庄町２－４－３,072-229-0606,●,,●,●,,
10,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-259-8410,https://nankai.netz-toyota-dealer.jp,,,,,,,,きたはなだ店,大阪府堺市北区新堀町２－１１９－１,072-259-8410,●,,●,●,,
11,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-258-5800,https://nankai.netz-toyota-dealer.jp,,,,,,,,堺東店,大阪府堺市北区長曾根町３００２－６,072-258-5800,●,,●,●,,
12,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-258-8819,https://nankai.netz-toyota-dealer.jp,,,,,,,,かなおか店,大阪府堺市北区中村町５６１－１,072-258-8819,●,,●,●,,
13,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-262-8888,https://nankai.netz-toyota-dealer.jp,,,,,,,,諏訪森店,大阪府堺市西区浜寺諏訪森町西１－５,072-262-8888,●,,●,●,,
14,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-263-8171,https://nankai.netz-toyota-dealer.jp,,,,,,,,高石店,大阪府堺市西区鳳西町１－７８－１,072-263-8171,●,,●,●,,
15,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-276-5880,https://nankai.netz-toyota-dealer.jp,,,,,,,,泉北店,堺市中区八田北町４８６－１,072-276-5880,●,,●,●,,
16,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-239-1133,https://nankai.netz-toyota-dealer.jp,,,,,,,,堺大野芝店,大阪府堺市中区大野芝町１８４,072-239-1133,●,,●,●,,
17,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-293-1188,https://nankai.netz-toyota-dealer.jp,,,,,,,,泉北ニュータウン店,大阪府堺市南区三原台４－４６－２,072-293-1188,●,,●,●,,
18,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,0725-22-0101,https://nankai.netz-toyota-dealer.jp,,,,,,,,いずみ店,大阪府和泉市肥子町２―４―５４,0725-22-0101,●,,●,●,,
19,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,0725-55-6101,https://nankai.netz-toyota-dealer.jp,,,,,,,,光明池店,大阪府和泉市伏屋町５－４－２０,0725-55-6101,●,,●,●,,
20,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-443-1110,https://nankai.netz-toyota-dealer.jp,,,,,,,,岸和田北店,大阪府岸和田市中井町３－２３－８,072-443-1110,●,,●,●,,
21,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-439-2081,https://nankai.netz-toyota-dealer.jp,,,,,,,,岸和田店,大阪府岸和田市西之内町６６－９,072-439-2081,●,,●,●,,
22,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-431-8700,https://nankai.netz-toyota-dealer.jp,,,,,,,,貝塚店,大阪府貝塚市堤２９３番１,072-431-8700,●,,●,●,,
23,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-464-1281,https://nankai.netz-toyota-dealer.jp,,,,,,,,泉佐野店,大阪府泉佐野市市場東３丁目５番１７号,072-464-1281,●,,●,●,,
24,ネッツトヨタ南海株式会社,大阪府堺市西区浜寺諏訪森町西１－７,072-483-9595,https://nankai.netz-toyota-dealer.jp,,,,,,,,泉南店,大阪府泉南市信達市場２０１８－１,072-483-9595,●,,●,●,,
