,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,06-6488-0101,http://www.kobetoyopet.com/,,,,,,,,杭瀬店,兵庫県尼崎市杭瀬北新町　　４丁目５－１,06-6488-0101,●,,●,●,,
1,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,06-6427-5550,http://www.kobetoyopet.com/,,,,,,,,名神店,兵庫県尼崎市名神町　１丁目７－２３,06-6427-5550,●,,●,●,,
2,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,06-6416-5151,http://www.kobetoyopet.com/,,,,,,,,浜田店,兵庫県尼崎市大庄川田町１１,06-6416-5151,●,,●,●,,
3,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,072-793-4101,http://www.kobetoyopet.com/,,,,,,,,川西店,兵庫県川西市多田桜木２丁目２－８,072-793-4101,●,,●,●,,
4,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,072-781-0501,http://www.kobetoyopet.com/,,,,,,,,伊丹店,兵庫県伊丹市昆陽池１丁目１８,072-781-0501,●,,●,●,,
5,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,0797-84-2822,http://www.kobetoyopet.com/,,,,,,,,宝塚店,兵庫県宝塚市小浜２丁目２－１８,0797-84-2822,●,,●,●,,
6,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,072-781-4520,http://www.kobetoyopet.com/,,,,,,,,宝塚インター南店,兵庫県伊丹市西野１－１,072-781-4520,●,,●,●,,
7,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,079-567-0100,http://www.kobetoyopet.com/,,,,,,,,新三田店,兵庫県三田市福島３丁目６,079-567-0100,●,,●,●,,
8,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,078-982-3567,http://www.kobetoyopet.com/,,,,,,,,岡場店,兵庫県神戸市北区有野中町　４丁目６－３６,078-982-3567,●,,●,●,,
9,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,0798-56-8577,http://www.kobetoyopet.com/,,,,,,,,西宮店,兵庫県西宮市深津町２－２３,0798-56-8577,●,,●,●,,
10,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,0797-34-5670,http://www.kobetoyopet.com/,,,,,,,,芦屋店,兵庫県西宮市室川町１４＜仮店舗＞,0797-34-5670,●,,●,●,,
11,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,078-846-3450,http://www.kobetoyopet.com/,,,,,,,,御影店,兵庫県神戸市東灘区御影中町３丁目２－５,078-846-3450,●,,●,●,●,●
12,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,078-251-3721,http://www.kobetoyopet.com/,,,,,,,,三宮店,兵庫県神戸市中央区吾妻通　２丁目１－３,078-251-3721,●,,●,●,,
13,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,078-576-5006,http://www.kobetoyopet.com/,,,,,,,,本社店,兵庫県神戸市兵庫区水木通２丁目１－１,078-576-5006,●,,●,●,,
14,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,078-733-1313,http://www.kobetoyopet.com/,,,,,,,,須磨店,兵庫県神戸市長田区海運町　５丁目１－２０,078-733-1313,●,,●,●,,
15,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,078-709-0001,http://www.kobetoyopet.com/,,,,,,,,名谷店,兵庫県神戸市垂水区名谷町字横尾１８５１－２,078-709-0001,●,,●,●,,
16,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,078-592-6011,http://www.kobetoyopet.com/,,,,,,,,鈴蘭台店,兵庫県神戸市北区南五葉１丁目６－４,078-592-6011,●,,●,●,,
17,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,078-996-8201,http://www.kobetoyopet.com/,,,,,,,,西神中央,兵庫県神戸市西区糀台５丁目６－８,078-996-8201,●,,●,●,,
18,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,078-928-9551,http://www.kobetoyopet.com/,,,,,,,,明石店,兵庫県神戸市西区持子２丁目１３７,078-928-9551,●,,●,●,,
19,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,078-934-0567,http://www.kobetoyopet.com/,,,,,,,,大久保店,兵庫県明石市大久保町大窪２０１－２,078-934-0567,●,,●,●,,
20,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,0794-87-1500,http://www.kobetoyopet.com/,,,,,,,,アネックス三木,兵庫県三木市　別所町　小林７３４－７４９,0794-87-1500,●,,●,●,,
21,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,0795-22-7210,http://www.kobetoyopet.com/,,,,,,,,西脇店,兵庫県西脇市板波町８５－１,0795-22-7210,●,●,●,●,,
22,神戸トヨペット株式会社,神戸市兵庫区水木通２－１－１,0795-73-0330,http://www.kobetoyopet.com/,,,,,,,,氷上店,兵庫県丹波市柏原町田路６２－１,0795-73-0330,●,●,●,●,,
