,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ兵庫株式会社,兵庫県神戸市兵庫区大開通９丁目１番１４号,078-232-4061,http://www.c-hyogo.co.jp/,,,,,,,,三宮東店,神戸市中央区脇浜町　２丁目１０－８,078-232-4061,●,,●,●,,
1,トヨタカローラ兵庫株式会社,兵庫県神戸市兵庫区大開通９丁目１番１４号,078-576-5111,http://www.c-hyogo.co.jp/,,,,,,,,本店,神戸市兵庫区大開通　９丁目１－１４,078-576-5111,●,,●,●,,
2,トヨタカローラ兵庫株式会社,兵庫県神戸市兵庫区大開通９丁目１番１４号,078-795-2101,http://www.c-hyogo.co.jp/,,,,,,,,学園南インター店,神戸市垂水区多聞町字小束山８６８番１３８９,078-795-2101,●,,●,●,,
3,トヨタカローラ兵庫株式会社,兵庫県神戸市兵庫区大開通９丁目１番１４号,078-975-5821,http://www.c-hyogo.co.jp/,,,,,,,,伊川谷店,神戸市西区池上３丁目６－１６,078-975-5821,●,,●,●,,
4,トヨタカローラ兵庫株式会社,兵庫県神戸市兵庫区大開通９丁目１番１４号,078-936-5555,http://www.c-hyogo.co.jp/,,,,,,,,大久保店,明石市魚住町金ヶ崎２２３－１,078-936-5555,●,,●,●,,
5,トヨタカローラ兵庫株式会社,兵庫県神戸市兵庫区大開通９丁目１番１４号,078-928-4311,http://www.c-hyogo.co.jp/,,,,,,,,バル玉津店,神戸市西区小山３丁目１－３,078-928-4311,●,●,●,●,●,●
6,トヨタカローラ兵庫株式会社,兵庫県神戸市兵庫区大開通９丁目１番１４号,0794-62-5591,http://www.c-hyogo.co.jp/,,,,,,,,小野店,小野市市場町１２１８－４,0794-62-5591,●,,●,●,,
7,トヨタカローラ兵庫株式会社,兵庫県神戸市兵庫区大開通９丁目１番１４号,0795-22-7550,http://www.c-hyogo.co.jp/,,,,,,,,西脇店,西脇市上野３５７－２,0795-22-7550,●,,●,●,,
8,トヨタカローラ兵庫株式会社,兵庫県神戸市兵庫区大開通９丁目１番１４号,0799-45-0292,http://www.c-hyogo.co.jp/,,,,,,,,淡路店,南あわじ市山添７８－２,0799-45-0292,●,●,●,●,,
9,トヨタカローラ兵庫株式会社,兵庫県神戸市兵庫区大開通９丁目１番１４号,078-998-1355,http://www.c-hyogo.co.jp/,,,,,,,,神戸西インター店,神戸市西区見津が丘３丁目１７－２,078-998-1355,●,●,●,●,,
