,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,06-6429-1281,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス尼崎,尼崎市名神町１丁目　１８－２５,06-6429-1281,●,●,●,●,,
1,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,078-805-0333,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス西灘,神戸市灘区灘南通２－１－３,078-805-0333,●,●,●,●,,
2,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,078-453-5500,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス甲南,神戸市東灘区本庄町　３－９－１６,078-453-5500,●,●,●,●,,
3,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,0798-35-0105,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス西宮,西宮市上甲子園４丁目　１－５,0798-35-0105,●,●,●,●,,
4,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,0727-81-3012,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス伊丹,伊丹市寺本６－６２,0727-81-3012,●,●,●,●,,
5,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,0727-57-6244,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス川西,川西市加茂６丁目２－２８,0727-57-6244,●,●,●,●,,
6,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,0797-81-0010,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス宝塚,宝塚市旭町２‐１‐２４,0797-81-0010,●,●,●,●,,
7,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,078-593-7110,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス鈴蘭台,神戸市北区山田町小部４３－３,078-593-7110,●,●,●,●,,
8,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,0798-63-6600,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス門戸,西宮市林田町１１－５,0798-63-6600,●,●,●,●,,
9,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,0727-67-2525,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス猪名川,川辺郡猪名川町若葉１－２－１３,0727-67-2525,●,●,●,●,,
10,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,0798-23-2800,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス夙川,西宮市城ヶ堀町１‐２１,0798-23-2800,●,●,●,●,,
11,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,0795-48-2801,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス加東,加東市新町４１６番地,0795-48-2801,●,●,●,●,,
12,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,0794-82-7282,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス三木,三木市大村１２７－１４,0794-82-7282,●,●,●,●,,
13,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,0795-80-1300,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス丹波,丹波市氷上町本郷３１９－７,0795-80-1300,●,●,●,●,,
14,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,079-590-2515,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス篠山,丹波篠山市大沢２－１－５,079-590-2515,●,●,●,●,,
15,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,079-565-5111,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス新三田,兵庫県三田市すずかけ台３丁目１番,079-565-5111,●,●,●,●,,
16,ネッツトヨタ神戸株式会社,兵庫県尼崎市名神町１－１８－２５,078-907-3501,https://www.netzkobe.co.jp/,,,,,,,,ネッツテラス流通,西宮市山口町阪神流通センター１－１１２,078-907-3501,●,●,●,●,,
