,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,和歌山トヨタ自動車株式会社,和歌山市美園町２丁目６５番地,073-436-1101,http://www.wakayama-toyota.jp,,,,,,,,美園店,和歌山市美園町２丁目６５番地,073-436-1101,●,●,●,●,,
1,和歌山トヨタ自動車株式会社,和歌山市美園町２丁目６５番地,073-436-1371,http://www.wakayama-toyota.jp,,,,,,,,小雑賀店,和歌山市中島２１０－２,073-436-1371,●,●,●,●,,
2,和歌山トヨタ自動車株式会社,和歌山市美園町２丁目６５番地,073-452-0100,http://www.wakayama-toyota.jp,,,,,,,,梶取店,和歌山市梶取２５５－１,073-452-0100,●,●,●,●,,
3,和歌山トヨタ自動車株式会社,和歌山市美園町２丁目６５番地,0736-42-2257,http://www.wakayama-toyota.jp,,,,,,,,高野口店,橋本市高野口町大野２１２－１,0736-42-2257,●,●,●,●,,
4,和歌山トヨタ自動車株式会社,和歌山市美園町２丁目６５番地,0736-62-1211,http://www.wakayama-toyota.jp,,,,,,,,岩出店,岩出市中島６８３－１,0736-62-1211,●,●,●,●,●,●
5,和歌山トヨタ自動車株式会社,和歌山市美園町２丁目６５番地,0737-52-6050,http://www.wakayama-toyota.jp,,,,,,,,有田店,有田郡有田川町明王寺２－４,0737-52-6050,●,●,●,●,,
6,和歌山トヨタ自動車株式会社,和歌山市美園町２丁目６５番地,0739-22-5333,http://www.wakayama-toyota.jp,,,,,,,,田辺店,田辺市上の山一丁目２４番８号,0739-22-5333,●,●,●,●,,
7,和歌山トヨタ自動車株式会社,和歌山市美園町２丁目６５番地,0735-22-5611,http://www.wakayama-toyota.jp,,,,,,,,新宮店,新宮市新宮８００１－５,0735-22-5611,●,●,●,●,,
8,和歌山トヨタ自動車株式会社,和歌山市美園町２丁目６５番地,073-488-6226,http://www.wakayama-toyota.jp,,,,,,,,Ｕ－Ｃａｒプラザ和歌山インター,和歌山県和歌山市栗栖６５８,073-488-6226,,●,●,,,
9,和歌山トヨタ自動車株式会社,和歌山市美園町２丁目６５番地,073-426-0131,http://www.wakayama-toyota.jp,,,,,,,,Ｕ－Ｃａｒランド手平,和歌山市手平２丁目４－２６,073-426-0131,,●,●,,,
