,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0742-62-0031,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット南京終店,奈良市南京終町２丁目２６９番地,0742-62-0031,●,,●,●,,
1,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0742-32-0055,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット新大宮店,奈良市法華寺町１４８番地,0742-32-0055,●,,●,●,,
2,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0742-52-7733,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット登美ヶ丘店,奈良市中登美ケ丘６丁目８番３号,0742-52-7733,●,,●,●,,
3,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0743-77-6361,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット南生駒店,生駒市壱分町９０３番地,0743-77-6361,●,,●,●,,
4,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0743-56-0808,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット郡山店,大和郡山市今国府町３００番地,0743-56-0808,●,,●,●,,
5,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0744-22-3751,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット橿原店,橿原市葛本町５２２番地,0744-22-3751,●,●,●,●,,
6,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0745-27-2211,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット広陵店,北葛城郡広陵町大字平尾７１８－１,0745-27-2211,●,,●,●,,
7,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0744-45-3261,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット桜井店,桜井市大字三輪１４２番地の２,0744-45-3261,●,,●,●,,
8,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0745-69-6701,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット新庄店,葛城市柿本６４番地の５,0745-69-6701,●,,●,●,,
9,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0747-52-7788,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット吉野店,吉野郡大淀町桧垣本７７４番地の５,0747-52-7788,●,,●,●,,
10,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0745-69-1414,https://www.toyota-utd-nara.com,,,,,,,,奈良トヨペット中古車葛城店,葛城市柿本９１番地の１,0745-69-1414,,●,●,,,
11,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0742-61-5353,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 南京終店,奈良県奈良市南京終町１－１５５－１,0742-61-5353,●,,●,●,,
12,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0742-35-3401,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 新大宮店,奈良市法華寺町１４４番地の１,0742-35-3401,●,,●,●,,
13,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0742-52-3555,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 登美ヶ丘店,奈良市中登美ヶ丘６丁目１４番８号,0742-52-3555,●,,●,●,,
14,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0742-48-4848,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 富雄店,奈良市三碓二丁目７－１４,0742-48-4848,●,,●,●,,
15,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0743-73-8800,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 生駒店,生駒市新生駒台４－７,0743-73-8800,●,,●,●,,
16,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0745-46-3600,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 平群店,生駒郡平群町椿井７３０－１,0745-46-3600,●,,●,●,,
17,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0745-78-3939,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 香芝店,香芝市下田東５丁目７０４番地の１,0745-78-3939,●,,●,●,,
18,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0744-22-1001,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 橿原店,橿原市葛本町５２３－１,0744-22-1001,●,,●,●,,
19,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0745-69-3444,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 新庄店,葛城市柿本９７－１０,0745-69-3444,●,,●,●,,
20,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0743-73-5123,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 中古車東生駒店,生駒市小明町２１０２の１,0743-73-5123,,●,●,●,,
21,奈良トヨペット ネッツトヨタ奈良,奈良県奈良市南京終町２－２６９,0743-59-1800,https://www.toyota-utd-nara.com,,,,,,,,ネッツトヨタ奈良 中古車郡山店,大和郡山市北西町１３５－３,0743-59-1800,,●,●,●,,
