,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,095-822-5181,http://nagasaki-toyopet.com/,,,,,,,,出島店,長崎県長崎市出島町１２番１３号,095-822-5181,●,,●,●,,
1,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,095-856-1191,http://nagasaki-toyopet.com/,,,,,,,,葉山店,長崎県長崎市葉山１丁目２８番５号,095-856-1191,●,,●,●,,
2,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,095-884-1711,http://nagasaki-toyopet.com/,,,,,,,,琴海店,長崎県長崎市琴海村松町７０４－１,095-884-1711,●,●,●,●,,
3,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,0956-31-4191,http://nagasaki-toyopet.com/,,,,,,,,佐世保店,長崎県佐世保市大和町４０３番地１,0956-31-4191,●,●,●,●,,
4,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,0956-47-6451,http://nagasaki-toyopet.com/,,,,,,,,日野店,長崎県佐世保市椎木町２０３番４,0956-47-6451,●,,●,●,,
5,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,0957-53-1000,http://nagasaki-toyopet.com/,,,,,,,,大村店,長崎県大村市松並１丁目９３９番地,0957-53-1000,●,,●,●,,
6,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,0957-22-3219,http://nagasaki-toyopet.com/,,,,,,,,諫早店,長崎県諫早市小川町５４－４,0957-22-3219,●,,●,●,,
7,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,0957-62-4168,http://nagasaki-toyopet.com/,,,,,,,,島原店,長崎県島原市新馬場町８７９番地１,0957-62-4168,●,,●,●,,
8,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,095-839-8381,http://nagasaki-toyopet.com/,,,,,,,,東長崎店,長崎県長崎市田中町３８７番地１,095-839-8381,●,●,●,●,,
9,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,0950-57-1600,http://nagasaki-toyopet.com/,,,,,,,,平戸口店,長崎県平戸市田平町小手田免９９０－２３,0950-57-1600,●,,●,●,,
10,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,0959-72-4138,http://nagasaki-toyopet.com/,,,,,,,,五島店,長崎県五島市吉久木町６９３番地５,0959-72-4138,●,,●,●,,
11,長崎トヨペット株式会社,長崎県長崎市出島町１２番１３号,0957-20-9010,http://nagasaki-toyopet.com/,,,,,,,,ユーカーランド久山,長崎県諫早市久山町２４６２番４,0957-20-9010,,●,●,,,
