,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ長崎株式会社,長崎県長崎市出島町12－13,095-823-6800,https://www.netz-nagasaki.com/,,,,,,,,ベイサイド南山手,長崎市小曽根町５－１６,095-823-6800,●,,●,●,,
1,ネッツトヨタ長崎株式会社,長崎県長崎市出島町12－13,095-839-1020,https://www.netz-nagasaki.com/,,,,,,,,東長崎店,長崎市田中町３８７－１,095-839-1020,●,,●,●,,
2,ネッツトヨタ長崎株式会社,長崎県長崎市出島町12－13,095-881-2130,https://www.netz-nagasaki.com/,,,,,,,,ユーカー時津打坂,長崎県西彼杵郡時津町元村郷打坂１１９３番６,095-881-2130,,●,●,,●,●
3,ネッツトヨタ長崎株式会社,長崎県長崎市出島町12－13,095-882-7700,https://www.netz-nagasaki.com/,,,,,,,,ネッツマリン時津,西彼杵郡時津町浦郷３０４－１,095-882-7700,●,,●,●,,
4,ネッツトヨタ長崎株式会社,長崎県長崎市出島町12－13,095-846-1814,https://www.netz-nagasaki.com/,,,,,,,,スマイルネッツ城栄,長崎市城栄町７番９号,095-846-1814,●,,●,●,,
5,ネッツトヨタ長崎株式会社,長崎県長崎市出島町12－13,0957-22-5791,https://www.netz-nagasaki.com/,,,,,,,,ネッツパーク諌早,諫早市小船越町２５２－１,0957-22-5791,●,,●,●,,
6,ネッツトヨタ長崎株式会社,長崎県長崎市出島町12－13,0957-20-9339,https://www.netz-nagasaki.com/,,,,,,,,ユーカーランド久山,諌早市久山町２４６２－４,0957-20-9339,,●,●,,,
7,ネッツトヨタ長崎株式会社,長崎県長崎市出島町12－13,0957-63-0450,https://www.netz-nagasaki.com/,,,,,,,,島原前浜店,島原市前浜町丙１１８－１,0957-63-0450,●,,●,●,,
8,ネッツトヨタ長崎株式会社,長崎県長崎市出島町12－13,0957-53-6138,https://www.netz-nagasaki.com/,,,,,,,,プライムスクエア大村,大村市富の原１丁目１５５３－１,0957-53-6138,●,,●,●,,
9,ネッツトヨタ長崎株式会社,長崎県長崎市出島町12－13,0956-32-2525,https://www.netz-nagasaki.com/,,,,,,,,フレンドリィプラザ佐世保,佐世保市日宇町２８４１番地１,0956-32-2525,●,●,●,●,,
