,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ユナイテッドトヨタ熊本株式会社,熊本市中央区十禅寺４丁目1番１号,096-344-3011,http://www.united-toyotakumamoto.jp/,,,,,,,,カローラ熊本 清水店,熊本市北区山室５丁目１番１号,096-344-3011,●,,●,●,,
1,ユナイテッドトヨタ熊本株式会社,熊本市中央区十禅寺４丁目1番１号,096-364-6111,http://www.united-toyotakumamoto.jp/,,,,,,,,ネッツスクエア南熊本店,熊本市中央区南熊本３丁目６－１,096-364-6111,●,,●,●,,
2,ユナイテッドトヨタ熊本株式会社,熊本市中央区十禅寺４丁目1番１号,096-362-2112,http://www.united-toyotakumamoto.jp/,,,,,,,,カローラ熊本 本店,熊本市中央区十禅寺四丁目１番１号,096-362-2112,●,,●,●,,
3,ユナイテッドトヨタ熊本株式会社,熊本市中央区十禅寺４丁目1番１号,0968-44-2101,http://www.united-toyotakumamoto.jp/,,,,,,,,カローラ熊本 山鹿店,山鹿市大橋通８０１,0968-44-2101,●,,●,●,,
4,ユナイテッドトヨタ熊本株式会社,熊本市中央区十禅寺４丁目1番１号,0968-24-3191,http://www.united-toyotakumamoto.jp/,,,,,,,,カローラ熊本 菊池店,菊池市大琳寺９１－３,0968-24-3191,●,,●,●,,
5,ユナイテッドトヨタ熊本株式会社,熊本市中央区十禅寺４丁目1番１号,096-356-2211,http://www.united-toyotakumamoto.jp/,,,,,,,,ネッツスクエア本店,熊本市南区近見７丁目８－４１,096-356-2211,●,●,●,●,,
6,ユナイテッドトヨタ熊本株式会社,熊本市中央区十禅寺４丁目1番１号,096-339-3333,http://www.united-toyotakumamoto.jp/,,,,,,,,カローラ熊本 武蔵ケ丘店,熊本市北区楠６丁目６－５０,096-339-3333,●,,●,●,,
7,ユナイテッドトヨタ熊本株式会社,熊本市中央区十禅寺４丁目1番１号,096-380-5221,http://www.united-toyotakumamoto.jp/,,,,,,,,カローラ熊本 東バイパス店,熊本市東区下南部３丁目１４－７８,096-380-5221,●,,●,●,,
8,ユナイテッドトヨタ熊本株式会社,熊本市中央区十禅寺４丁目1番１号,096-380-5500,http://www.united-toyotakumamoto.jp/,,,,,,,,U Forest 東バイパス,熊本市東区下南部３丁目１４－３,096-380-5500,,●,●,●,,
9,ユナイテッドトヨタ熊本株式会社,熊本市中央区十禅寺４丁目1番１号,096-382-0222,http://www.united-toyotakumamoto.jp/,,,,,,,,ネッツスクエア東店,熊本市東区西原３丁目１－１７,096-382-0222,●,●,●,●,,
