,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ東九州株式会社,大分県大分市大字宮崎字口ノ坪1427番地の1,097-569-8772,http://www.netz-higashikyushu.co.jp,,,,,,,,Ｕ－Ｃａｒセンター,大分市宮崎８８８番地の１,097-569-8772,,●,●,,,
1,ネッツトヨタ東九州株式会社,大分県大分市大字宮崎字口ノ坪1427番地の1,097-569-3711,http://www.netz-higashikyushu.co.jp,,,,,,,,本店,大分市宮崎字口ノ坪１４２７番地の１,097-569-3711,●,,●,●,,
2,ネッツトヨタ東九州株式会社,大分県大分市大字宮崎字口ノ坪1427番地の1,097-538-3751,http://www.netz-higashikyushu.co.jp,,,,,,,,大分中央店,大分市中春日町　３５番地,097-538-3751,●,,●,●,,
3,ネッツトヨタ東九州株式会社,大分県大分市大字宮崎字口ノ坪1427番地の1,097-553-3711,http://www.netz-higashikyushu.co.jp,,,,,,,,大分東店,大分市乙津港町　１丁目３－３４,097-553-3711,●,,●,●,,
4,ネッツトヨタ東九州株式会社,大分県大分市大字宮崎字口ノ坪1427番地の1,0977-67-3177,http://www.netz-higashikyushu.co.jp,,,,,,,,別府店,別府市中須賀東町７－１,0977-67-3177,●,,●,●,,
5,ネッツトヨタ東九州株式会社,大分県大分市大字宮崎字口ノ坪1427番地の1,0978-33-1181,http://www.netz-higashikyushu.co.jp,,,,,,,,宇佐・中津店,宇佐市大字富山８５番地の２,0978-33-1181,●,,●,●,,
6,ネッツトヨタ東九州株式会社,大分県大分市大字宮崎字口ノ坪1427番地の1,0972-23-4711,http://www.netz-higashikyushu.co.jp,,,,,,,,佐伯店,佐伯市大字上岡１４７６－２,0972-23-4711,●,,●,●,,
7,ネッツトヨタ東九州株式会社,大分県大分市大字宮崎字口ノ坪1427番地の1,0972-83-5350,http://www.netz-higashikyushu.co.jp,,,,,,,,臼杵店,臼杵市大字市浜字馬渡１１７８番地１,0972-83-5350,●,,●,●,,
8,ネッツトヨタ東九州株式会社,大分県大分市大字宮崎字口ノ坪1427番地の1,0974-64-0355,http://www.netz-higashikyushu.co.jp,,,,,,,,竹田店,竹田市大字拝田原２１１番地の１,0974-64-0355,●,,●,●,,
9,ネッツトヨタ東九州株式会社,大分県大分市大字宮崎字口ノ坪1427番地の1,0973-22-5050,http://www.netz-higashikyushu.co.jp,,,,,,,,日田店,日田市若宮町１番２３,0973-22-5050,●,,●,●,,
