,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,099-230-0707,https://corolla-kagoshima.info/,,,,,,,,Ｕテラス鹿児島,鹿児島県鹿児島市南栄５丁目１０番３１号,099-230-0707,,●,●,,,
1,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,099-253-1001,https://corolla-kagoshima.info/,,,,,,,,本店,鹿児島市東郡元町１５番１８号,099-253-1001,●,,●,●,,
2,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,099-225-2151,https://corolla-kagoshima.info/,,,,,,,,城南店,鹿児島市南林寺町３１番６号,099-225-2151,●,,●,●,,
3,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,099-267-6161,https://corolla-kagoshima.info/,,,,,,,,谷山店,鹿児島市南栄５丁目１０番３０号,099-267-6161,●,,●,●,,
4,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,099-220-8855,https://corolla-kagoshima.info/,,,,,,,,伊敷店,鹿児島市伊敷町５丁目５番１号,099-220-8855,●,,●,●,,
5,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,099-275-9888,https://corolla-kagoshima.info/,,,,,,,,中山店,鹿児島市山田町１７３番６号,099-275-9888,●,,●,●,,
6,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0995-65-3111,https://corolla-kagoshima.info/,,,,,,,,姶良店,姶良市平松７３９０番１号,0995-65-3111,●,,●,●,,
7,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0995-45-1300,https://corolla-kagoshima.info/,,,,,,,,国分店,霧島市国分広瀬１丁目２２番６号,0995-45-1300,●,,●,●,,
8,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0995-22-7300,https://corolla-kagoshima.info/,,,,,,,,大口店,伊佐市大口原田６０６番１号,0995-22-7300,●,,●,●,,
9,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0994-43-2233,https://corolla-kagoshima.info/,,,,,,,,鹿屋店,鹿屋市旭原町３５９０番３８号,0994-43-2233,●,,●,●,,
10,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,099-482-1191,https://corolla-kagoshima.info/,,,,,,,,大隅店,曽於市大隅町月野３０５５番地,099-482-1191,●,,●,●,,
11,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,099-473-3001,https://corolla-kagoshima.info/,,,,,,,,志布志店,志布志市志布志町安楽３６０９番１号,099-473-3001,●,,●,●,,
12,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0996-22-5271,https://corolla-kagoshima.info/,,,,,,,,川内店,薩摩川内市矢倉町４２６０番地,0996-22-5271,●,●,●,●,,
13,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0993-53-2451,https://corolla-kagoshima.info/,,,,,,,,加世田店,南さつま市加世田武田５番地,0993-53-2451,●,,●,●,,
14,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0993-25-5211,https://corolla-kagoshima.info/,,,,,,,,指宿店,指宿市西方２０６９番地,0993-25-5211,●,,●,●,,
15,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0996-67-2700,https://corolla-kagoshima.info/,,,,,,,,出水店,出水市六月田町９２３,0996-67-2700,●,,●,●,,
16,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,099-251-5231,https://corolla-kagoshima.info/,,,,,,,,郡元マイカーセンター,鹿児島市東郡元町１７番３号,099-251-5231,,●,●,●,,
17,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0995-64-0670,https://corolla-kagoshima.info/,,,,,,,,国分マイカーセンター,霧島市国分広瀬１丁目２１番２０号,0995-64-0670,,●,●,●,,
18,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,099-259-5151,https://corolla-kagoshima.info/,,,,,,,,与次郎オートシティ,鹿児島市与次郎２丁目４番４３号,099-259-5151,,●,●,●,,
19,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0994-42-1481,https://corolla-kagoshima.info/,,,,,,,,Ｕステーション鹿屋,鹿屋市旭原町３５９０番３８号,0994-42-1481,,●,●,●,,
20,トヨタカローラ鹿児島株式会社,鹿児島市東郡元町１５－１８,0996-20-7071,https://corolla-kagoshima.info/,,,,,,,,川内マイカーセンター,薩摩川内市矢倉町４２６０番地,0996-20-7071,,●,●,,,
