,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,099-226-7200,http://www.netz-kagoshima.jp,,,,,,,,城南本店,鹿児島県鹿児島市城南町８番１９号,099-226-7200,●,,●,●,,
1,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,0996-23-7100,http://www.netz-kagoshima.jp,,,,,,,,川内店,鹿児島県薩摩川内市矢倉町４１８４番地,0996-23-7100,●,●,●,●,,
2,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,0994-44-6000,http://www.netz-kagoshima.jp,,,,,,,,鹿屋店,鹿児島県鹿屋市今坂町１２４１０番５号,0994-44-6000,●,,●,●,,
3,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,0995-42-2215,http://www.netz-kagoshima.jp,,,,,,,,国分店,鹿児島県霧島市隼人町住吉９４番地,0995-42-2215,●,,●,●,,
4,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,0993-53-2600,http://www.netz-kagoshima.jp,,,,,,,,加世田店,鹿児島県南さつま市加世田内山田１３２番１号,0993-53-2600,●,,●,●,,
5,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,099-482-1500,http://www.netz-kagoshima.jp,,,,,,,,大隅店,鹿児島県曽於市大隅町月野３３４０番１号,099-482-1500,●,,●,●,,
6,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,0996-67-2100,http://www.netz-kagoshima.jp,,,,,,,,出水店,鹿児島県出水市米ノ津町４３番１７号,0996-67-2100,●,,●,●,,
7,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,099-226-7200,http://www.netz-kagoshima.jp,,,,,,,,城南シーサイド店,鹿児島県鹿児島市城南町２１番１号,099-226-7200,●,,●,,,
8,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,099-278-0255,http://www.netz-kagoshima.jp,,,,,,,,松元店,鹿児島県鹿児島市春山町１９０９－１,099-278-0255,●,,●,●,,
9,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,099-267-5500,http://www.netz-kagoshima.jp,,,,,,,,谷山店,鹿児島県鹿児島市南栄５丁目１０番３５号,099-267-5500,●,●,●,●,,
10,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,0995-26-2400,http://www.netz-kagoshima.jp,,,,,,,,大口店,鹿児島県伊佐市菱刈花北６０５番１９号,0995-26-2400,●,,●,●,,
11,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,0993-25-5600,http://www.netz-kagoshima.jp,,,,,,,,指宿店,鹿児島県指宿市東方字中田口田１０８１５番１号,0993-25-5600,●,,●,●,,
12,ネッツトヨタ鹿児島株式会社,鹿児島県鹿児島市城南町８番１９号,0995-66-4611,http://www.netz-kagoshima.jp,,,,,,,,姶良店,鹿児島県姶良市鍋倉２８番４号,0995-66-4611,●,●,●,●,,
