,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,山形トヨペット株式会社,山形市飯田西五丁目５番２号,023-634-7500,http://yamagata-toyopet.jp/,,,,,,,,本社,山形市飯田西五丁目　５番２号,023-634-7500,●,●,●,●,●,●
1,山形トヨペット株式会社,山形市飯田西五丁目５番２号,023-623-3535,http://yamagata-toyopet.jp/,,,,,,,,東バイパス店,山形市上山家町字　　下宿７６０－１,023-623-3535,●,●,●,●,,
2,山形トヨペット株式会社,山形市飯田西五丁目５番２号,023-644-6785,http://yamagata-toyopet.jp/,,,,,,,,西バイパス店,山形市城西町五丁目　３３番１８号,023-644-6785,●,,●,●,,
3,山形トヨペット株式会社,山形市飯田西五丁目５番２号,023-655-2121,http://yamagata-toyopet.jp/,,,,,,,,天童店,天童市大字芳賀字桜段　５３０番１,023-655-2121,●,●,●,●,,
4,山形トヨペット株式会社,山形市飯田西五丁目５番２号,0237-86-4281,http://yamagata-toyopet.jp/,,,,,,,,寒河江店,寒河江市大字寒河江　字古河江２２番地,0237-86-4281,●,●,●,●,,
5,山形トヨペット株式会社,山形市飯田西五丁目５番２号,0237-55-4111,http://yamagata-toyopet.jp/,,,,,,,,村山店,村山市中央二丁目　　１番２６号,0237-55-4111,●,,●,●,,
6,山形トヨペット株式会社,山形市飯田西五丁目５番２号,0233-22-6226,http://yamagata-toyopet.jp/,,,,,,,,新庄店,新庄市大字鳥越字栗田　６０６番の１４,0233-22-6226,●,●,●,●,,
7,山形トヨペット株式会社,山形市飯田西五丁目５番２号,0234-22-5533,http://yamagata-toyopet.jp/,,,,,,,,酒田中央店,酒田市両羽町６－１,0234-22-5533,●,●,●,●,,
8,山形トヨペット株式会社,山形市飯田西五丁目５番２号,0235-22-3280,http://yamagata-toyopet.jp/,,,,,,,,鶴岡店,鶴岡市宝田二丁目　　３番４０号,0235-22-3280,●,●,●,●,,
9,山形トヨペット株式会社,山形市飯田西五丁目５番２号,0238-37-4100,http://yamagata-toyopet.jp/,,,,,,,,米沢店,米沢市　中田町　　５５１番地の２,0238-37-4100,●,●,●,●,,
10,山形トヨペット株式会社,山形市飯田西五丁目５番２号,0238-43-3300,http://yamagata-toyopet.jp/,,,,,,,,南陽店,南陽市長岡字清水尻６７２番地の２,0238-43-3300,●,,●,●,,
11,山形トヨペット株式会社,山形市飯田西五丁目５番２号,0238-84-1651,http://yamagata-toyopet.jp/,,,,,,,,長井店,長井市十日町二丁目　８番１４号,0238-84-1651,●,●,●,●,,
