,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ山形株式会社,山形市南一番町１－１５,023-641-2100,http://www.tc-ymt.jp/,,,,,,,,南一番町店,山形市南一番町１－１５,023-641-2100,●,,●,●,,
1,トヨタカローラ山形株式会社,山形市南一番町１－１５,023-677-1811,http://www.tc-ymt.jp/,,,,,,,,上山店,上山市蔵王の森２０番地,023-677-1811,●,●,●,●,,
2,トヨタカローラ山形株式会社,山形市南一番町１－１５,023-647-7272,http://www.tc-ymt.jp/,,,,,,,,南館店,山形市南館西７－３,023-647-7272,●,,●,●,,
3,トヨタカローラ山形株式会社,山形市南一番町１－１５,023-643-4411,http://www.tc-ymt.jp/,,,,,,,,城北店,山形市城北町一丁目１１－２１,023-643-4411,●,,●,●,,
4,トヨタカローラ山形株式会社,山形市南一番町１－１５,023-641-3161,http://www.tc-ymt.jp/,,,,,,,,大野目店,山形市浜崎２,023-641-3161,●,●,●,●,,
5,トヨタカローラ山形株式会社,山形市南一番町１－１５,023-654-4411,http://www.tc-ymt.jp/,,,,,,,,天童店,天童市大字貫津２２６０番地,023-654-4411,●,●,●,●,,
6,トヨタカローラ山形株式会社,山形市南一番町１－１５,0237-86-4391,http://www.tc-ymt.jp/,,,,,,,,寒河江店,寒河江市高田三丁目２２２,0237-86-4391,●,●,●,●,,
7,トヨタカローラ山形株式会社,山形市南一番町１－１５,0237-43-3111,http://www.tc-ymt.jp/,,,,,,,,東根店,東根市温泉町三丁目１－１３,0237-43-3111,●,●,●,●,,
8,トヨタカローラ山形株式会社,山形市南一番町１－１５,0233-22-4922,http://www.tc-ymt.jp/,,,,,,,,新庄店,新庄市大字鳥越４９６－２,0233-22-4922,●,●,●,●,,
9,トヨタカローラ山形株式会社,山形市南一番町１－１５,0238-37-2251,http://www.tc-ymt.jp/,,,,,,,,米沢店,米沢市中田町３２０－１,0238-37-2251,●,●,●,●,,
10,トヨタカローラ山形株式会社,山形市南一番町１－１５,0238-43-3220,http://www.tc-ymt.jp/,,,,,,,,赤湯店,南陽市椚塚１３３８－１,0238-43-3220,●,●,●,●,,
11,トヨタカローラ山形株式会社,山形市南一番町１－１５,0238-84-3311,http://www.tc-ymt.jp/,,,,,,,,長井店,長井市館町南９－５９,0238-84-3311,●,●,●,●,,
12,トヨタカローラ山形株式会社,山形市南一番町１－１５,0235-23-2331,http://www.tc-ymt.jp/,,,,,,,,鶴岡店,鶴岡市文下字広野１８－１,0235-23-2331,●,●,●,●,,
13,トヨタカローラ山形株式会社,山形市南一番町１－１５,0235-23-9696,http://www.tc-ymt.jp/,,,,,,,,みどり町店,鶴岡市みどり町１５－６,0235-23-9696,●,●,●,●,,
14,トヨタカローラ山形株式会社,山形市南一番町１－１５,0234-23-6151,http://www.tc-ymt.jp/,,,,,,,,山居町店,酒田市山居町二丁目２－５,0234-23-6151,●,●,●,●,,
15,トヨタカローラ山形株式会社,山形市南一番町１－１５,0234-35-1788,http://www.tc-ymt.jp/,,,,,,,,酒田泉町店,酒田市泉町２３番,0234-35-1788,●,●,●,●,,
16,トヨタカローラ山形株式会社,山形市南一番町１－１５,023-642-2121,http://www.tc-ymt.jp/,,,,,,,,カーパル桜田,山形市桜田西五丁目２－５,023-642-2121,,●,●,●,,
