,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ福島株式会社,福島県郡山市字川向６１,024-945-0201,https://www.corolla-fukushima.jp/,,,,,,,,郡山店,郡山市字川向６１,024-945-0201,●,●,●,●,,
1,トヨタカローラ福島株式会社,福島県郡山市字川向６１,024-991-5551,https://www.corolla-fukushima.jp/,,,,,,,,朝日店,郡山市朝日３丁目２－２９,024-991-5551,●,,●,●,,
2,トヨタカローラ福島株式会社,福島県郡山市字川向６１,024-951-0200,https://www.corolla-fukushima.jp/,,,,,,,,富田店,郡山市富田町字町西１４番４,024-951-0200,●,●,●,●,,
3,トヨタカローラ福島株式会社,福島県郡山市字川向６１,024-958-2477,https://www.corolla-fukushima.jp/,,,,,,,,日和田店,郡山市日和田町字原１２－２３,024-958-2477,●,,●,●,,
4,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0247-82-5220,https://www.corolla-fukushima.jp/,,,,,,,,ふねひき店,田村市船引町船引字小沢川代８６－１,0247-82-5220,●,●,●,●,,
5,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0248-76-1145,https://www.corolla-fukushima.jp/,,,,,,,,須賀川店,須賀川市山寺道１９－３,0248-76-1145,●,●,●,●,,
6,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0248-24-1226,https://www.corolla-fukushima.jp/,,,,,,,,白河店,西白河郡西郷村石塚南１３,0248-24-1226,●,●,●,●,,
7,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0247-33-4163,https://www.corolla-fukushima.jp/,,,,,,,,棚倉店,東白川郡棚倉町大字流字永君１－１,0247-33-4163,●,●,●,●,,
8,トヨタカローラ福島株式会社,福島県郡山市字川向６１,024-546-4101,https://www.corolla-fukushima.jp/,,,,,,,,福島店,福島市黒岩字中沖６０,024-546-4101,●,●,●,●,●,●
9,トヨタカローラ福島株式会社,福島県郡山市字川向６１,024-533-0021,https://www.corolla-fukushima.jp/,,,,,,,,西中央店,福島市西中央２丁目１番地,024-533-0021,●,●,●,●,,
10,トヨタカローラ福島株式会社,福島県郡山市字川向６１,024-553-1513,https://www.corolla-fukushima.jp/,,,,,,,,北福島店,福島市北矢野目字小原田西１３－１,024-553-1513,●,●,●,●,,
11,トヨタカローラ福島株式会社,福島県郡山市字川向６１,024-553-1515,https://www.corolla-fukushima.jp/,,,,,,,,鎌田店,福島市鎌田字蛭川２番６,024-553-1515,●,,●,●,,
12,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0243-23-0781,https://www.corolla-fukushima.jp/,,,,,,,,二本松店,二本松市大平山５４－１,0243-23-0781,●,,●,●,,
13,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0242-26-5700,https://www.corolla-fukushima.jp/,,,,,,,,会津店,会津若松市古川町１－５,0242-26-5700,●,●,●,●,,
14,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0242-25-2255,https://www.corolla-fukushima.jp/,,,,,,,,城北店,会津若松市町北町大字藤室字横道１５９－２,0242-25-2255,●,●,●,●,,
15,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0241-22-5511,https://www.corolla-fukushima.jp/,,,,,,,,喜多方店,喜多方市字長面３０８８,0241-22-5511,●,●,●,●,,
16,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0242-82-4670,https://www.corolla-fukushima.jp/,,,,,,,,坂下店,河沼郡会津坂下町大字金上字辰己９０－１,0242-82-4670,●,,●,●,,
17,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0241-62-2600,https://www.corolla-fukushima.jp/,,,,,,,,田島店,南会津郡南会津町田島字西上川原乙８０－１,0241-62-2600,●,●,●,●,,
18,トヨタカローラ福島株式会社,福島県郡山市字川向６１,0241-45-2816,https://www.corolla-fukushima.jp/,,,,,,,,西会津店,耶麻郡西会津町野沢字原町６１６,0241-45-2816,●,,●,●,,
