,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,024-923-3211,http://www.novel-f.co.jp,,,,,,,,こおりやま並木店,郡山市並木３丁目２番地５,024-923-3211,●,●,●,●,,
1,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,024-947-0034,http://www.novel-f.co.jp,,,,,,,,こおりやま川向店,郡山市字川向３０,024-947-0034,●,●,●,●,,
2,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,024-962-7677,http://www.novel-f.co.jp,,,,,,,,こおりやま大槻店,郡山市御前南１丁目５４,024-962-7677,●,●,●,●,,
3,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,0248-76-4121,http://www.novel-f.co.jp,,,,,,,,須賀川店,須賀川市池ノ下２１－１,0248-76-4121,●,●,●,●,,
4,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,0248-27-1511,http://www.novel-f.co.jp,,,,,,,,白河店,白河市新高山４０－１,0248-27-1511,●,●,●,●,,
5,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,0242-28-2828,http://www.novel-f.co.jp,,,,,,,,あいづ千石店,会津若松市東千石二丁目１番８号,0242-28-2828,●,●,●,●,,
6,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,0241-23-1511,http://www.novel-f.co.jp,,,,,,,,喜多方店,喜多方市字諏訪６番地,0241-23-1511,●,●,●,●,,
7,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,024-545-1311,http://www.novel-f.co.jp,,,,,,,,ふくしま黒岩店,福島市黒岩字堂ノ後　４６番１号,024-545-1311,●,●,●,●,,
8,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,024-555-0355,http://www.novel-f.co.jp,,,,,,,,ふくしま矢野目店,福島市南矢野目字高畑２０－６,024-555-0355,●,●,●,●,,
9,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,0246-35-3588,http://www.novel-f.co.jp,,,,,,,,いわき平店,いわき市平谷川瀬二丁目１番１４,0246-35-3588,●,●,●,●,,
10,ネッツトヨタノヴェルふくしま株式会社,福島県郡山市字川向１－１（Ｉ＆Ｉビル）,024-937-3088,http://www.novel-f.co.jp,,,,,,,,オンリーユーマイカーセンター,郡山市字川向１６６,024-937-3088,,●,●,,,
