,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,茨城トヨペット株式会社,水戸市千波町２０２８－１,029-892-5671,https://www.ibaraki-toyopet.co.jp/,,,,,,,,江戸崎店,茨城県稲敷市江戸崎甲２５６１－１,029-892-5671,●,●,●,●,,
1,茨城トヨペット株式会社,水戸市千波町２０２８－１,029-823-6116,https://www.ibaraki-toyopet.co.jp/,,,,,,,,Ｕ－Ｃａｒセンター土浦高津店,茨城県土浦市　上高津７２６－３,029-823-6116,,●,●,,,
2,茨城トヨペット株式会社,水戸市千波町２０２８－１,029-842-1234,https://www.ibaraki-toyopet.co.jp/,,,,,,,,土浦荒川沖店,茨城県土浦市荒川沖４７１－１,029-842-1234,●,●,●,●,,
3,茨城トヨペット株式会社,水戸市千波町２０２８－１,029-871-4361,https://www.ibaraki-toyopet.co.jp/,,,,,,,,ひたち野うしく店,茨城県牛久市ひたち野東１－２４－４,029-871-4361,●,●,●,●,,
4,茨城トヨペット株式会社,水戸市千波町２０２８－１,029-873-3936,https://www.ibaraki-toyopet.co.jp/,,,,,,,,牛久南店,茨城県牛久市牛久町８２２,029-873-3936,●,●,●,●,,
5,茨城トヨペット株式会社,水戸市千波町２０２８－１,0297-42-0567,https://www.ibaraki-toyopet.co.jp/,,,,,,,,常総石下店,茨城県常総市新石下１６４８－１,0297-42-0567,●,●,●,●,,
6,茨城トヨペット株式会社,水戸市千波町２０２８－１,029-862-3111,https://www.ibaraki-toyopet.co.jp/,,,,,,,,土浦並木店,茨城県土浦市上坂田１４６８,029-862-3111,●,●,●,●,,
7,茨城トヨペット株式会社,水戸市千波町２０２８－１,0297-62-7631,https://www.ibaraki-toyopet.co.jp/,,,,,,,,竜ヶ崎出し山店,茨城県龍ケ崎市野原町７９,0297-62-7631,●,●,●,●,,
8,茨城トヨペット株式会社,水戸市千波町２０２８－１,0297-74-8111,https://www.ibaraki-toyopet.co.jp/,,,,,,,,６号取手店,茨城県取手市井野台４丁目１－１,0297-74-8111,●,●,●,●,,
9,茨城トヨペット株式会社,水戸市千波町２０２８－１,0297-46-3511,https://www.ibaraki-toyopet.co.jp/,,,,,,,,守谷松並店,守谷市松並２０００－４２,0297-46-3511,●,●,●,●,,
10,茨城トヨペット株式会社,水戸市千波町２０２８－１,0296-43-3706,https://www.ibaraki-toyopet.co.jp/,,,,,,,,下妻店,茨城県下妻市田下６６１,0296-43-3706,●,●,●,●,,
11,茨城トヨペット株式会社,水戸市千波町２０２８－１,029-852-3234,https://www.ibaraki-toyopet.co.jp/,,,,,,,,つくば東大通り店,茨城県つくば市妻木７４５－２,029-852-3234,●,●,●,●,,
12,茨城トヨペット株式会社,水戸市千波町２０２８－１,029-856-7211,https://www.ibaraki-toyopet.co.jp/,,,,,,,,つくば学園の森店,茨城県つくば市学園の森３丁目７番１,029-856-7211,●,●,●,●,,
13,茨城トヨペット株式会社,水戸市千波町２０２８－１,029-858-2850,https://www.ibaraki-toyopet.co.jp/,,,,,,,,つくば西大橋店,茨城県つくば市西大橋６４８－３,029-858-2850,●,●,●,●,●,●
14,茨城トヨペット株式会社,水戸市千波町２０２８－１,029-836-8868,https://www.ibaraki-toyopet.co.jp/,,,,,,,,つくばみどりの店,茨城県つくば市みどりの２－３９－３,029-836-8868,●,●,●,●,,
15,茨城トヨペット株式会社,水戸市千波町２０２８－１,0280-98-0500,https://www.ibaraki-toyopet.co.jp/,,,,,,,,古河東牛谷店,茨城県古河市東牛谷４９２－５,0280-98-0500,●,●,●,●,,
16,茨城トヨペット株式会社,水戸市千波町２０２８－１,0297-36-0567,https://www.ibaraki-toyopet.co.jp/,,,,,,,,坂東店,茨城県坂東市辺田１４０２－７３,0297-36-0567,●,●,●,●,,
17,茨城トヨペット株式会社,水戸市千波町２０２８－１,0296-24-5311,https://www.ibaraki-toyopet.co.jp/,,,,,,,,筑西神分店,茨城県筑西市神分　３９３－１,0296-24-5311,●,●,●,●,,
18,茨城トヨペット株式会社,水戸市千波町２０２８－１,0296-74-4511,https://www.ibaraki-toyopet.co.jp/,,,,,,,,笠間大鳥居店,茨城県笠間市飯合　１００－１,0296-74-4511,●,●,●,●,,
