,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,0293-42-6711,https://netzibaraki.co.jp/,,,,,,,,マイネ北茨城,茨城県北茨城市中郷町小野矢指　２１６－１,0293-42-6711,●,,●,●,,
1,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,0294-22-7541,https://netzibaraki.co.jp/,,,,,,,,マイネ滑川,茨城県日立市滑川町　１－１５－２０,0294-22-7541,●,,●,●,,
2,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,0294-53-5600,https://netzibaraki.co.jp/,,,,,,,,マイネ森山,茨城県日立市森山町　３－１－３８,0294-53-5600,●,●,●,●,,
3,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,0295-53-3688,https://netzibaraki.co.jp/,,,,,,,,マイネ常陸大宮,茨城県常陸大宮市上村田３８８－１,0295-53-3688,●,●,●,●,,
4,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,029-285-5711,https://netzibaraki.co.jp/,,,,,,,,マイネ稲田,茨城県ひたちなか市稲田　１３５３－１,029-285-5711,●,,●,●,,
5,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,029-273-1030,https://netzibaraki.co.jp/,,,,,,,,マイネ昭和通り,茨城県ひたちなか市中根　３３２０－７,029-273-1030,●,,●,●,,
6,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,029-226-2344,https://netzibaraki.co.jp/,,,,,,,,マイネ自由が丘,茨城県水戸市自由が丘　３－５２,029-226-2344,●,,●,●,,
7,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,029-244-0010,https://netzibaraki.co.jp/,,,,,,,,マイネ平須,茨城県水戸市平須町　１８２８－３５,029-244-0010,●,●,●,●,●,●
8,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,029-248-7705,https://netzibaraki.co.jp/,,,,,,,,マイネ住吉,茨城県水戸市住吉町　８－３,029-248-7705,●,,●,●,,
9,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,0299-26-2155,https://netzibaraki.co.jp/,,,,,,,,マイネ石岡,茨城県石岡市大字東大橋　３１５７ー２,0299-26-2155,●,,●,●,,
10,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,0299-82-6911,https://netzibaraki.co.jp/,,,,,,,,マイネ鹿嶋,茨城県鹿嶋市大船津大坪　２６７８,0299-82-6911,●,,●,●,,
11,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,0299-97-4555,https://netzibaraki.co.jp/,,,,,,,,マイネ神栖,茨城県神栖市奥野谷　５０５,0299-97-4555,●,●,●,●,,
12,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,0291-33-3611,https://netzibaraki.co.jp/,,,,,,,,マイネ鉾田,茨城県鉾田市柏熊　１００１－６０,0291-33-3611,●,●,●,●,,
13,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,029-821-4321,https://netzibaraki.co.jp/,,,,,,,,マイネ土浦,茨城県土浦市東若松町　３９８２ー４,029-821-4321,●,,●,●,,
14,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,029-843-2833,https://netzibaraki.co.jp/,,,,,,,,マイネ荒川沖,茨城県土浦市荒川沖　５０７－３,029-843-2833,●,●,●,●,,
15,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,029-861-1788,https://netzibaraki.co.jp/,,,,,,,,マイネ学園,茨城県つくば市研究学園５丁目１７番地２,029-861-1788,●,,●,●,,
16,ネッツトヨタ茨城株式会社,茨城県水戸市けやき台３－６５－１,0297-61-2820,https://netzibaraki.co.jp/,,,,,,,,マイネ龍ケ崎,茨城県龍ケ崎市中里　１－１－１５,0297-61-2820,●,●,●,●,,
