,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,029-243-1171,http://www.netz-mito.co.jp/,,,,,,,,千波店,水戸市千波町１９８８,029-243-1171,●,●,●,●,,
1,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,029-295-7733,http://www.netz-mito.co.jp/,,,,,,,,那珂バイパス店,那珂市菅谷５３８８－２,029-295-7733,●,●,●,●,,
2,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,0299-66-1900,http://www.netz-mito.co.jp/,,,,,,,,潮来店,潮来市　延方東１７３８－４,0299-66-1900,●,●,●,●,,
3,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,029-253-1171,http://www.netz-mito.co.jp/,,,,,,,,赤塚店,水戸市　　大塚町　　１８４１－２４,029-253-1171,●,●,●,●,,
4,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,029-272-1171,http://www.netz-mito.co.jp/,,,,,,,,勝田店,ひたちなか市笹野町　２丁目７番地の２４,029-272-1171,●,●,●,●,,
5,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,0299-90-1000,http://www.netz-mito.co.jp/,,,,,,,,神栖店,神栖市大野原４－１１－４３,0299-90-1000,●,●,●,●,,
6,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,0299-26-6200,http://www.netz-mito.co.jp/,,,,,,,,石岡店,石岡市　旭台　１丁目２０番の１,0299-26-6200,●,●,●,●,,
7,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,029-259-1015,http://www.netz-mito.co.jp/,,,,,,,,内原バイパス店,茨城県水戸市内原１－１５１,029-259-1015,●,●,●,●,,
8,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,0294-27-1130,http://www.netz-mito.co.jp/,,,,,,,,大みか店,日立市大みか町４－１２－３０,0294-27-1130,●,●,●,●,,
9,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,0294-43-5343,http://www.netz-mito.co.jp/,,,,,,,,日立北店,日立市日高町　５丁目４番の１５,0294-43-5343,●,●,●,●,,
10,ネッツトヨタ水戸株式会社,茨城県水戸市千波町１９８８,0293-42-3434,http://www.netz-mito.co.jp/,,,,,,,,北茨城店,北茨城市中郷町下桜井字南山８６０番地の２,0293-42-3434,●,●,●,●,,
