,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ栃木株式会社,栃木県宇都宮市駒生２－１０－２８,028-635-6767,https://www.netztochigi.co.jp/,,,,,,,,宇都宮中央店,栃木県宇都宮市不動前１－２－１８,028-635-6767,●,●,●,●,,
1,ネッツトヨタ栃木株式会社,栃木県宇都宮市駒生２－１０－２８,028-649-0222,https://www.netztochigi.co.jp/,,,,,,,,宇都宮西店,栃木県宇都宮市駒生１－２４－３０,028-649-0222,●,●,●,●,,
2,ネッツトヨタ栃木株式会社,栃木県宇都宮市駒生２－１０－２８,028-633-2285,https://www.netztochigi.co.jp/,,,,,,,,宇都宮不動前店,栃木県宇都宮市不動前４－２－４８,028-633-2285,●,,●,●,●,●
3,ネッツトヨタ栃木株式会社,栃木県宇都宮市駒生２－１０－２８,028-615-1102,https://www.netztochigi.co.jp/,,,,,,,,宇都宮台新田店,栃木県宇都宮市台新田町１２６－１,028-615-1102,●,●,●,●,,
4,ネッツトヨタ栃木株式会社,栃木県宇都宮市駒生２－１０－２８,028-623-0010,https://www.netztochigi.co.jp/,,,,,,,,宇都宮競輪場通り店,栃木県宇都宮市竹林町６７９－１,028-623-0010,●,●,●,●,,
5,ネッツトヨタ栃木株式会社,栃木県宇都宮市駒生２－１０－２８,028-663-5522,https://www.netztochigi.co.jp/,,,,,,,,宇都宮駅東店,栃木県宇都宮市泉ケ丘１－１５－３３,028-663-5522,●,,●,●,,
6,ネッツトヨタ栃木株式会社,栃木県宇都宮市駒生２－１０－２８,028-660-3339,https://www.netztochigi.co.jp/,,,,,,,,宇都宮みゆきが原店,栃木県宇都宮市下川俣町２０６－２９,028-660-3339,●,,●,●,,
7,ネッツトヨタ栃木株式会社,栃木県宇都宮市駒生２－１０－２８,028-667-7007,https://www.netztochigi.co.jp/,,,,,,,,宇都宮ゆいの杜店,栃木県宇都宮市ゆいの杜８丁目１－１３,028-667-7007,●,●,●,●,,
8,ネッツトヨタ栃木株式会社,栃木県宇都宮市駒生２－１０－２８,0289-65-2191,https://www.netztochigi.co.jp/,,,,,,,,鹿沼店,栃木県鹿沼市茂呂２４７５－５,0289-65-2191,●,●,●,●,,
9,ネッツトヨタ栃木株式会社,栃木県宇都宮市駒生２－１０－２８,0288-22-2332,https://www.netztochigi.co.jp/,,,,,,,,日光森友店,栃木県日光市森友９８５－１,0288-22-2332,●,●,●,●,,
