,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ埼玉株式会社,埼玉県上尾市壱丁目南4-1,048-775-8811,https://www.corolla-saitama.jp,,,,,,,,上尾本店,上尾市日の出３－２－２８,048-775-8811,●,●,●,●,,
1,トヨタカローラ埼玉株式会社,埼玉県上尾市壱丁目南4-1,048-261-8755,https://www.corolla-saitama.jp,,,,,,,,川口店,川口市芝中田２－２３－２７,048-261-8755,●,●,●,●,,
2,トヨタカローラ埼玉株式会社,埼玉県上尾市壱丁目南4-1,048-443-4601,https://www.corolla-saitama.jp,,,,,,,,わらび店,蕨市中央６－１２－２２,048-443-4601,●,●,●,●,,
3,トヨタカローラ埼玉株式会社,埼玉県上尾市壱丁目南4-1,048-641-4404,https://www.corolla-saitama.jp,,,,,,,,大宮天沼店,さいたま市大宮区天沼町２－２９０,048-641-4404,●,●,●,●,,
4,トヨタカローラ埼玉株式会社,埼玉県上尾市壱丁目南4-1,048-771-2011,https://www.corolla-saitama.jp,,,,,,,,上尾中妻店,上尾市中妻２－２－６,048-771-2011,●,●,●,●,,
5,トヨタカローラ埼玉株式会社,埼玉県上尾市壱丁目南4-1,048-711-2425,https://www.corolla-saitama.jp,,,,,,,,桜スクエア,さいたま市桜区町谷４－２－５,048-711-2425,●,●,●,●,,
6,トヨタカローラ埼玉株式会社,埼玉県上尾市壱丁目南4-1,048-263-0333,https://www.corolla-saitama.jp,,,,,,,,ＭＣ川口,埼玉県川口市芝下１丁目７番２号,048-263-0333,●,●,●,●,,
7,トヨタカローラ埼玉株式会社,埼玉県上尾市壱丁目南4-1,048-931-3591,https://www.corolla-saitama.jp,,,,,,,,草加店,草加市弁天４－１１－３,048-931-3591,●,●,●,●,,
8,トヨタカローラ埼玉株式会社,埼玉県上尾市壱丁目南4-1,048-986-8171,https://www.corolla-saitama.jp,,,,,,,,南越谷店,越谷市南越谷１－２８７４－１,048-986-8171,●,●,●,●,,
9,トヨタカローラ埼玉株式会社,埼玉県上尾市壱丁目南4-1,048-752-4101,https://www.corolla-saitama.jp,,,,,,,,春日部小渕店,春日部市小渕７５８－１,048-752-4101,●,●,●,●,,
