,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,03-3833-9721,http://www.netz-toto.com,,,,,,,,台東店,東京都台東区元浅草　２－７－７,03-3833-9721,●,,●,●,,
1,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,03-3884-6911,http://www.netz-toto.com,,,,,,,,ネッツタワー足立,東京都足立区東六月町　５－１０,03-3884-6911,●,,●,●,,
2,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,03-3857-1041,http://www.netz-toto.com,,,,,,,,西新井店,東京都足立区谷在家　１－２３－７,03-3857-1041,●,,●,●,,
3,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,03-3691-1963,http://www.netz-toto.com,,,,,,,,葛飾店,東京都葛飾区東立石　１－４－４,03-3691-1963,●,,●,●,,
4,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,03-3600-7611,http://www.netz-toto.com,,,,,,,,水元店,東京都葛飾区水元　３－１１－２３,03-3600-7611,●,,●,●,,
5,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,03-3614-6111,http://www.netz-toto.com,,,,,,,,墨田向島店,東京都墨田区八広　５－８－３,03-3614-6111,●,,●,●,,
6,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,03-3659-9171,http://www.netz-toto.com,,,,,,,,小岩店,東京都江戸川区東小岩　１－３－２,03-3659-9171,●,,●,●,,
7,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,03-3680-8151,http://www.netz-toto.com,,,,,,,,船堀店,東京都江戸川区船堀　３－３－１６,03-3680-8151,●,,●,●,,
8,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,03-3682-5111,http://www.netz-toto.com,,,,,,,,江東店,東京都江東区大島　　１－８－９,03-3682-5111,●,,●,●,,
9,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,043-276-0681,http://www.netz-toto.com,,,,,,,,ベイ幕張店,千葉県千葉市美浜区若葉　２－２,043-276-0681,●,,●,●,,
10,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,047-467-0400,http://www.netz-toto.com,,,,,,,,習志野店,千葉県船橋市習志野台　８－８－１,047-467-0400,●,,●,●,,
11,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,043-258-8001,http://www.netz-toto.com,,,,,,,,こてはし店,千葉県千葉市花見川区犢橋町　２１９１－１,043-258-8001,●,,●,●,,
12,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,047-377-6331,http://www.netz-toto.com,,,,,,,,市川店,千葉県市川市東大和田　２－１８－５,047-377-6331,●,,●,●,,
13,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,047-300-5311,http://www.netz-toto.com,,,,,,,,市川大野店,千葉県市川市曽谷２－１－２４,047-300-5311,●,,●,●,,
14,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,047-703-1010,http://www.netz-toto.com,,,,,,,,松戸店,千葉県松戸市松戸新田　１３２－１,047-703-1010,●,,●,●,,
15,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,047-441-1010,http://www.netz-toto.com,,,,,,,,新鎌ヶ谷店,千葉県鎌ヶ谷市新鎌ケ谷　２－１３－１６,047-441-1010,●,,●,●,,
16,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,04-7179-1010,http://www.netz-toto.com,,,,,,,,天王台店,千葉県我孫子市高野山　５４６－１,04-7179-1010,●,,●,●,,
17,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,04-7158-7000,http://www.netz-toto.com,,,,,,,,おおたかの森店,千葉県流山市おおたかの森西３－６－４,04-7158-7000,●,,●,●,,
18,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,0476-24-2181,http://www.netz-toto.com,,,,,,,,成田店,千葉県成田市不動ヶ岡１９５７－２,0476-24-2181,●,,●,●,,
19,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,0479-25-4011,http://www.netz-toto.com,,,,,,,,銚子店,千葉県銚子市垣根町　２－２０４－１,0479-25-4011,●,,●,●,,
20,ネッツトヨタ東都株式会社,東京都葛飾区東立石１－４－４,0479-60-1010,http://www.netz-toto.com,,,,,,,,旭店,千葉県旭市二　３０９６－１,0479-60-1010,●,,●,●,,
