,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ウエインズトヨタ神奈川,横浜市中区山下町３３,045-504-4111,https://www.weins-toyota-kanagawa.co.jp,,,,,,,,鶴見中央店,神奈川県横浜市鶴見区潮田町１－５７－１,045-504-4111,●,,●,●,,
1,ウエインズトヨタ神奈川,横浜市中区山下町３３,045-581-1111,https://www.weins-toyota-kanagawa.co.jp,,,,,,,,上末吉店,神奈川県横浜市鶴見区上末吉５－１４－９,045-581-1111,●,,●,●,,
2,ウエインズトヨタ神奈川,横浜市中区山下町３３,045-572-2791,https://www.weins-toyota-kanagawa.co.jp,,,,,,,,東寺尾店,神奈川県横浜市鶴見区東寺尾４－６－１９,045-572-2791,●,,●,●,,
3,ウエインズトヨタ神奈川,横浜市中区山下町３３,045-321-7111,https://www.weins-toyota-kanagawa.co.jp,,,,,,,,東神奈川店,神奈川県横浜市神奈川区広台太田町１１－１２,045-321-7111,●,,●,●,,
4,ウエインズトヨタ神奈川,横浜市中区山下町３３,045-413-3111,https://www.weins-toyota-kanagawa.co.jp,,,,,,,,片倉店,神奈川県横浜市神奈川区片倉２－１－２３,045-413-3111,●,,●,●,,
5,ウエインズトヨタ神奈川,横浜市中区山下町３３,045-541-2111,https://www.weins-toyota-kanagawa.co.jp,,,,,,,,港北店,神奈川県横浜市港北区大倉山１－２７－１,045-541-2111,●,,●,●,,
6,ウエインズトヨタ神奈川,横浜市中区山下町３３,045-543-1111,https://www.weins-toyota-kanagawa.co.jp,,,,,,,,新羽店,神奈川県横浜市港北区新羽町１６２３,045-543-1111,●,,●,●,,
7,ウエインズトヨタ神奈川,横浜市中区山下町３３,045-534-2311,https://www.weins-toyota-kanagawa.co.jp,,,,,,,,トレッサ横浜店,神奈川県横浜市港北区師岡町７００,045-534-2311,●,,●,●,,
8,ウエインズトヨタ神奈川,横浜市中区山下町３３,045-914-3511,https://www.weins-toyota-kanagawa.co.jp,,,,,,,,センター北店,神奈川県横浜市都筑区中川中央１－３２－２１,045-914-3511,●,,●,●,,
9,ウエインズトヨタ神奈川,横浜市中区山下町３３,045-942-1231,https://www.weins-toyota-kanagawa.co.jp,,,,,,,,見花山店,神奈川県横浜市都筑区見花山４０－２２,045-942-1231,●,,●,●,,
