,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,新潟トヨタ自動車株式会社,新潟市中央区女池南１丁目２番１３号,0258-35-2175,http://www.niigata-toyota.co.jp/,,,,,,,,長岡川崎店,長岡市川崎町５９０番地,0258-35-2175,●,●,●,●,,
1,新潟トヨタ自動車株式会社,新潟市中央区女池南１丁目２番１３号,0258-28-3010,http://www.niigata-toyota.co.jp/,,,,,,,,長岡喜多町店,長岡市喜多町１０２４番地１,0258-28-3010,●,●,●,●,,
2,新潟トヨタ自動車株式会社,新潟市中央区女池南１丁目２番１３号,025-543-3111,http://www.niigata-toyota.co.jp/,,,,,,,,上越店,上越市新光町３丁目１番１７号,025-543-3111,●,●,●,●,●,●
3,新潟トヨタ自動車株式会社,新潟市中央区女池南１丁目２番１３号,025-274-7171,http://www.niigata-toyota.co.jp/,,,,,,,,新潟東店,新潟市東区木工新町４４６－１,025-274-7171,●,●,●,●,,
4,新潟トヨタ自動車株式会社,新潟市中央区女池南１丁目２番１３号,025-281-7117,http://www.niigata-toyota.co.jp/,,,,,,,,新潟店,新潟市中央区女池南１丁目２番１３号,025-281-7117,●,●,●,●,,
5,新潟トヨタ自動車株式会社,新潟市中央区女池南１丁目２番１３号,025-386-1211,http://www.niigata-toyota.co.jp/,,,,,,,,豊栄店,新潟市北区木崎９０１番地１,025-386-1211,●,●,●,●,●,●
6,新潟トヨタ自動車株式会社,新潟市中央区女池南１丁目２番１３号,0256-72-4101,http://www.niigata-toyota.co.jp/,,,,,,,,巻店,新潟市西蒲区巻甲４０１４番地１,0256-72-4101,●,●,●,●,,
7,新潟トヨタ自動車株式会社,新潟市中央区女池南１丁目２番１３号,0256-34-2611,http://www.niigata-toyota.co.jp/,,,,,,,,三条店,三条市須頃２丁目４５番地,0256-34-2611,●,●,●,●,,
8,新潟トヨタ自動車株式会社,新潟市中央区女池南１丁目２番１３号,0250-22-4000,http://www.niigata-toyota.co.jp/,,,,,,,,新津店,新潟市秋葉区古田１丁目３番７号,0250-22-4000,●,●,●,●,,
9,新潟トヨタ自動車株式会社,新潟市中央区女池南１丁目２番１３号,0254-22-4111,http://www.niigata-toyota.co.jp/,,,,,,,,新発田店,新発田市城北町３丁目４番１７号,0254-22-4111,●,●,●,●,,
