,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,025-212-7111,https://toyotacorolla-niigata.jp/,,,,,,,,新潟亀田インター店,新潟市江南区下早通柳田２丁目２番１５号,025-212-7111,●,●,●,●,●,●
1,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,025-212-6111,https://toyotacorolla-niigata.jp/,,,,,,,,カーロッツ新潟,新潟市江南区下早通柳田２丁目２番１２号,025-212-6111,,●,●,●,,
2,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,025-271-1400,https://toyotacorolla-niigata.jp/,,,,,,,,大形店,新潟市東区豊１丁目１３－４９,025-271-1400,●,●,●,●,,
3,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,025-362-6800,https://toyotacorolla-niigata.jp/,,,,,,,,白根店,新潟市南区北田中字堀留７８０番地２９,025-362-6800,●,,●,●,,
4,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,025-231-7700,https://toyotacorolla-niigata.jp/,,,,,,,,青山フォーラム店,新潟市西区青山２３１,025-231-7700,●,●,●,●,,
5,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,025-245-2251,https://toyotacorolla-niigata.jp/,,,,,,,,新潟桜木店,新潟市中央区和合町１丁目９番１６号,025-245-2251,●,●,●,●,,
6,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,0259-63-4500,https://toyotacorolla-niigata.jp/,,,,,,,,佐渡店,佐渡市貝塚字山中１０７９番地１,0259-63-4500,●,●,●,●,,
7,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,0256-72-6101,https://toyotacorolla-niigata.jp/,,,,,,,,巻店,新潟市西蒲区潟頭６９０,0256-72-6101,●,●,●,●,,
8,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,0256-34-3711,https://toyotacorolla-niigata.jp/,,,,,,,,三条店,三条市大字下須頃字八枚田２１０,0256-34-3711,●,●,●,●,,
9,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,0254-27-2291,https://toyotacorolla-niigata.jp/,,,,,,,,新発田店,新発田市大字曽根字興野通５３０－１,0254-27-2291,●,●,●,●,,
10,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,0250-43-6600,https://toyotacorolla-niigata.jp/,,,,,,,,五泉店,五泉市船越字江中瀬３４－１,0250-43-6600,●,●,●,●,,
11,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,0254-43-5500,https://toyotacorolla-niigata.jp/,,,,,,,,中条店,胎内市中条３３８５－６,0254-43-5500,●,●,●,,,
12,トヨタカローラ新潟株式会社,新潟市江南区下早通柳田２丁目２番１５号,0254-52-2500,https://toyotacorolla-niigata.jp/,,,,,,,,村上店,村上市上助渕字谷地１８０７－１,0254-52-2500,●,●,●,●,,
