,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,0258-24-5245,http://www.netz-niigata.jp,,,,,,,,長岡蔵王店,長岡市東蔵王２丁目３番５７号,0258-24-5245,●,,●,●,,
1,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,0258-22-5110,http://www.netz-niigata.jp,,,,,,,,長岡左岸バイパス店,長岡市西津町３８６０番地,0258-22-5110,●,,●,●,,
2,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,025-526-2120,http://www.netz-niigata.jp,,,,,,,,上越店,上越市春日野１丁目６番１４号,025-526-2120,●,●,●,●,,
3,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,0257-24-4545,http://www.netz-niigata.jp,,,,,,,,柏崎中央店,柏崎市扇町６番４１号,0257-24-4545,●,●,●,●,,
4,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,025-382-1100,http://www.netz-niigata.jp,,,,,,,,亀田うのこ店,新潟市江南区東早通２丁目１番９号,025-382-1100,●,,●,●,,
5,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,025-279-5530,http://www.netz-niigata.jp,,,,,,,,新潟空港店,新潟市東区木工新町１１７７番地３,025-279-5530,●,●,●,●,●,●
6,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,025-285-1151,http://www.netz-niigata.jp,,,,,,,,桜木店,新潟市中央区女池南１丁目３番８号,025-285-1151,●,,●,●,,
7,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,025-211-1170,http://www.netz-niigata.jp,,,,,,,,小新インター店,新潟市西区流通センター１丁目２番地４,025-211-1170,●,,●,●,,
8,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,025-268-1900,http://www.netz-niigata.jp,,,,,,,,新大前店,新潟市西区坂井砂山４丁目２２番７号,025-268-1900,●,,●,●,,
9,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,0256-32-0561,http://www.netz-niigata.jp,,,,,,,,三条店,三条市須頃３丁目１１６番地,0256-32-0561,●,,●,●,,
10,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,0254-23-3146,http://www.netz-niigata.jp,,,,,,,,新発田店,新発田市富塚町１丁目１番３０号,0254-23-3146,●,,●,●,,
11,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,0256-94-7600,http://www.netz-niigata.jp,,,,,,,,吉田店,燕市吉田３５１０番地１,0256-94-7600,●,●,●,●,,
12,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,0250-43-0657,http://www.netz-niigata.jp,,,,,,,,五泉店,五泉市船越字江中瀬２４番地１,0250-43-0657,●,,●,●,,
13,ネッツトヨタ新潟株式会社,新潟県新潟市中央区女池南１－３－８,0254-43-6500,http://www.netz-niigata.jp,,,,,,,,胎内中条店,胎内市中条３３８５番地６,0254-43-6500,●,●,●,●,,
