,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,石川トヨタ自動車株式会社,金沢市御影町３－１,076-238-5551,http://www.ishikawatoyota.com/,,,,,,,,金沢西店,金沢市割出町６４０,076-238-5551,●,●,●,●,,
1,石川トヨタ自動車株式会社,金沢市御影町３－１,076-252-0146,http://www.ishikawatoyota.com/,,,,,,,,金沢東店,金沢市三池栄町７５番地,076-252-0146,●,●,●,●,,
2,石川トヨタ自動車株式会社,金沢市御影町３－１,076-242-3281,http://www.ishikawatoyota.com/,,,,,,,,Ｕ－Ｃａｒ金沢御影店,金沢市増泉４丁目４番５号,076-242-3281,,●,●,●,,
3,石川トヨタ自動車株式会社,金沢市御影町３－１,076-245-2821,http://www.ishikawatoyota.com/,,,,,,,,金沢御影店,金沢市御影町３番１号,076-245-2821,●,●,●,●,,
4,石川トヨタ自動車株式会社,金沢市御影町３－１,076-259-0011,http://www.ishikawatoyota.com/,,,,,,,,野々市店,野々市市太平寺３丁目１２６番３,076-259-0011,●,●,●,●,,
5,石川トヨタ自動車株式会社,金沢市御影町３－１,0761-72-2522,http://www.ishikawatoyota.com/,,,,,,,,加賀店,加賀市黒瀬町ヲ１,0761-72-2522,●,●,●,●,,
6,石川トヨタ自動車株式会社,金沢市御影町３－１,0761-22-5201,http://www.ishikawatoyota.com/,,,,,,,,小松店,小松市今江町４丁目　１２３,0761-22-5201,●,●,●,●,,
7,石川トヨタ自動車株式会社,金沢市御影町３－１,076-276-1303,http://www.ishikawatoyota.com/,,,,,,,,白山店,白山市村井町１５４５,076-276-1303,●,●,●,●,,
8,石川トヨタ自動車株式会社,金沢市御影町３－１,0767-53-1700,http://www.ishikawatoyota.com/,,,,,,,,七尾店,七尾市本府中町ル４１ー１,0767-53-1700,●,●,●,●,,
9,石川トヨタ自動車株式会社,金沢市御影町３－１,0768-52-1550,http://www.ishikawatoyota.com/,,,,,,,,穴水店,鳳珠郡穴水町川島ヲ１,0768-52-1550,●,●,●,●,,
10,石川トヨタ自動車株式会社,金沢市御影町３－１,076-281-2244,http://www.ishikawatoyota.com/,,,,,,,,河北店,かほく市高松　　ア１２ー１,076-281-2244,●,●,●,●,,
