Unnamed: 0,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,076-242-6131,https://www.netztoyota.co.jp/,,,,,,,,西泉店,金沢市西泉２丁目１７８,076-242-6131,●,●,●,●,,
1,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,076-266-7700,https://www.netztoyota.co.jp/,,,,,,,,鞍月店,金沢市鞍月４丁目１００番地,076-266-7700,●,●,●,●,,
2,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,076-227-8933,https://www.netztoyota.co.jp/,,,,,,,,白山インター店,石川県白山市横江町５３８０,076-227-8933,●,●,●,●,,
3,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,076-251-2244,https://www.netztoyota.co.jp/,,,,,,,,元町店,金沢市元町２－１７０,076-251-2244,●,●,●,●,,
4,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,076-231-3300,https://www.netztoyota.co.jp/,,,,,,,,田上もりの里店,金沢市田上さくら２－１００,076-231-3300,●,●,●,●,,
5,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,076-246-2737,https://www.netztoyota.co.jp/,,,,,,,,南店,野々市市矢作１－１２７,076-246-2737,●,●,●,●,,
6,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,0761-73-4040,https://www.netztoyota.co.jp/,,,,,,,,加賀店,加賀市作見町ニ８０－１,0761-73-4040,●,●,●,●,,
7,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,0761-22-5431,https://www.netztoyota.co.jp/,,,,,,,,小松店,小松市大領町ロ１５８,0761-22-5431,●,●,●,●,,
8,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,076-275-1105,https://www.netztoyota.co.jp/,,,,,,,,白山店,白山市徳丸町５９５ー１,076-275-1105,●,●,●,●,,
9,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,076-289-0555,https://www.netztoyota.co.jp/,,,,,,,,津幡店,河北郡津幡町舟橋に３０－１,076-289-0555,●,●,●,●,,
10,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,0767-22-2123,https://www.netztoyota.co.jp/,,,,,,,,羽咋店,羽咋市石野町イ５１－１,0767-22-2123,●,●,●,●,,
11,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,0767-53-7887,https://www.netztoyota.co.jp/,,,,,,,,七尾店,七尾市藤橋町申４３－１,0767-53-7887,●,●,●,●,,
12,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,0768-22-5229,https://www.netztoyota.co.jp/,,,,,,,,輪島店,輪島市杉平町蝦夷穴６１－７,0768-22-5229,●,●,●,●,,
13,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,076-280-3741,https://www.netztoyota.co.jp/,,,,,,,,Ｕ－Ｃａｒシャンツェ西泉,金沢市西泉２－１７８,076-280-3741,,●,●,,,
14,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,076-266-7711,https://www.netztoyota.co.jp/,,,,,,,,Ｕ－Ｃａｒシャンツェ鞍月,金沢市鞍月４丁目１０１番地,076-266-7711,,●,●,,,
15,ネッツトヨタ石川株式会社,石川県金沢市西泉２－１７８,0767-53-1877,https://www.netztoyota.co.jp/,,,,,,,,Ｕ－Ｃａｒシャンツェ七尾,七尾市本府中町ヲ部２８,0767-53-1877,,●,●,●,,
0,福井トヨタ自動車株式会社,福井市下荒井町１９字５０番地,0776-38-0024,http://www.fukui-toyota.jp/,,,,,,,,本社,福井市下荒井町１９－５０,0776-38-0024,●,●,●,●,●,●
1,福井トヨタ自動車株式会社,福井市下荒井町１９字５０番地,0776-53-5305,http://www.fukui-toyota.jp/,,,,,,,,開発店,福井市開発４－２１１,0776-53-5305,●,●,●,●,,
2,福井トヨタ自動車株式会社,福井市下荒井町１９字５０番地,0776-21-2626,http://www.fukui-toyota.jp/,,,,,,,,福井大仏前店,福井市春山２－６－９,0776-21-2626,●,●,●,●,,
3,福井トヨタ自動車株式会社,福井市下荒井町１９字５０番地,0776-51-6707,http://www.fukui-toyota.jp/,,,,,,,,空港前店,坂井市春江町藤鷲塚３８字８,0776-51-6707,●,●,●,●,●,●
4,福井トヨタ自動車株式会社,福井市下荒井町１９字５０番地,0776-67-1066,http://www.fukui-toyota.jp/,,,,,,,,丸岡,福井県坂井市丸岡町朝陽１丁目２２９,0776-67-1066,●,●,●,●,,
5,福井トヨタ自動車株式会社,福井市下荒井町１９字５０番地,0779-65-2626,http://www.fukui-toyota.jp/,,,,,,,,大野店,大野市中津川３１字脇の田,0779-65-2626,●,●,●,●,,
6,福井トヨタ自動車株式会社,福井市下荒井町１９字５０番地,0778-23-3355,http://www.fukui-toyota.jp/,,,,,,,,サンドーム南店,越前市高木町２６字２４－１,0778-23-3355,●,●,●,●,,
